Phylum,Class,Genus,number of occurrences
Annelida,Polychaeta,Alvinella,194
Annelida,Polychaeta,Amphisamytha,1
Annelida,Polychaeta,Amphitrite,11
Annelida,Polychaeta,Aphrodita,4
Annelida,Polychaeta,Arctonoe,5
Annelida,Polychaeta,Arenicola,139
Annelida,Polychaeta,Arhynchite,2
Annelida,Polychaeta,Arichlidon,3
Annelida,Polychaeta,Austrolaenilla,1
Annelida,Polychaeta,Axiothella,1
Annelida,Polychaeta,Bathypolaria,1
Annelida,Polychaeta,Bhawania,1
Annelida,Polychaeta,Bispira,2
Annelida,Polychaeta,Boccardia,2
Annelida,Polychaeta,Boccardiella,4
Annelida,Polychaeta,Bonellia,6
Annelida,Polychaeta,Brada,3
Annelida,Polychaeta,Branchinotogluma,12
Annelida,Polychaeta,Branchiomma,44
Annelida,Polychaeta,Branchipolynoe,17
Annelida,Polychaeta,Capitella,269
Annelida,Polychaeta,Chaetopterus,62
Annelida,Polychaeta,Chaetozone,9
Annelida,Polychaeta,Cheilonereis,1
Annelida,Polychaeta,Chitinopoma,1
Annelida,Polychaeta,Chloeia,73
Annelida,Polychaeta,Cirriformia,1
Annelida,Polychaeta,Clymenella,2
Annelida,Polychaeta,Crucigera,17
Annelida,Polychaeta,Dasybranchus,1
Annelida,Polychaeta,Dendronereis,2
Annelida,Polychaeta,Dimorphilus,241
Annelida,Polychaeta,Dinophilus,2
Annelida,Polychaeta,Diplocirrus,2
Annelida,Polychaeta,Dipolydora,5
Annelida,Polychaeta,Diurodrilus,1
Annelida,Polychaeta,Drieschia,5
Annelida,Polychaeta,Dysponetus,15
Annelida,Polychaeta,Echiurus,22
Annelida,Polychaeta,Eclysippe,1
Annelida,Polychaeta,Eteone,1
Annelida,Polychaeta,Eulalia,1
Annelida,Polychaeta,Eulepethus,3
Annelida,Polychaeta,Eunice,1
Annelida,Polychaeta,Eunoe,5
Annelida,Polychaeta,Euphrosine,2
Annelida,Polychaeta,Eurythoe,79
Annelida,Polychaeta,Eusyllis,4
Annelida,Polychaeta,Euthalenessa,4
Annelida,Polychaeta,Exogone,3
Annelida,Polychaeta,Flabelligera,17
Annelida,Polychaeta,Galathealinum,1
Annelida,Polychaeta,Galathowenia,1
Annelida,Polychaeta,Glycera,138
Annelida,Polychaeta,Glycinde,7
Annelida,Polychaeta,Goniada,6
Annelida,Polychaeta,Halosydna,6
Annelida,Polychaeta,Harmothoe,16
Annelida,Polychaeta,Hediste,131
Annelida,Polychaeta,Hemipodia,6
Annelida,Polychaeta,Hesiolyra,5
Annelida,Polychaeta,Hesione,3
Annelida,Polychaeta,Hesionides,1
Annelida,Polychaeta,Hesiospina,1
Annelida,Polychaeta,Heteromastus,1
Annelida,Polychaeta,Hyalinoecia,1
Annelida,Polychaeta,Hyboscolex,1
Annelida,Polychaeta,Hydroides,86
Annelida,Polychaeta,Iheyomytilidicola,2
Annelida,Polychaeta,Iphione,4
Annelida,Polychaeta,Lacydonia,12
Annelida,Polychaeta,Laetmonice,3
Annelida,Polychaeta,Lamellibrachia,4
Annelida,Polychaeta,Laminatubus,8
Annelida,Polychaeta,Lanice,9
Annelida,Polychaeta,Laphania,2
Annelida,Polychaeta,Laubierus,2
Annelida,Polychaeta,Leitoscoloplos,5
Annelida,Polychaeta,Leodamas,1
Annelida,Polychaeta,Lepidonotopodium,2
Annelida,Polychaeta,Lepidonotus,3
Annelida,Polychaeta,Lumbrineris,5
Annelida,Polychaeta,Lysidice,1
Annelida,Polychaeta,Lysilla,2
Annelida,Polychaeta,Magelona,5
Annelida,Polychaeta,Malacoceros,8
Annelida,Polychaeta,Marenzelleria,12
Annelida,Polychaeta,Marphysa,5
Annelida,Polychaeta,Mediomastus,5
Annelida,Polychaeta,Melaenis,6
Annelida,Polychaeta,Melinna,6
Annelida,Polychaeta,Mesochaetopterus,2
Annelida,Polychaeta,Mesonerilla,1
Annelida,Polychaeta,Microphthalmus,9
Annelida,Polychaeta,Micropodarke,2
Annelida,Polychaeta,Myrianida,1
Annelida,Polychaeta,Namalycastis,5
Annelida,Polychaeta,Natsushima,2
Annelida,Polychaeta,Neanthes,8
Annelida,Polychaeta,Neoamphitrite,4
Annelida,Polychaeta,Nephtys,12
Annelida,Polychaeta,Nereimyra,3
Annelida,Polychaeta,Nereis,27
Annelida,Polychaeta,Nicolea,1
Annelida,Polychaeta,Nicomache,3
Annelida,Polychaeta,Ninoe,1
Annelida,Polychaeta,Notomastus,1
Annelida,Polychaeta,Oasisia,1
Annelida,Polychaeta,Ophelia,7
Annelida,Polychaeta,Ophryotrocha,22
Annelida,Polychaeta,Orbinia,2
Annelida,Polychaeta,Osedax,54
Annelida,Polychaeta,Owenia,30
Annelida,Polychaeta,Oxydromus,8
Annelida,Polychaeta,Panthalis,6
