Phylum,Class,Genus,number of occurrences
Arthropoda,Hexanauplia,Leptodiaptomus,2
Arthropoda,Hexanauplia,Lernaea,1
Arthropoda,Hexanauplia,Limnoithona,11
Arthropoda,Hexanauplia,Lophothrix,1
Arthropoda,Hexanauplia,Lovenula,43
Arthropoda,Hexanauplia,Lucicutia,19
Arthropoda,Hexanauplia,Macrocyclops,2
Arthropoda,Hexanauplia,Malacopsyllus,31
Arthropoda,Hexanauplia,Mastigodiaptomus,44
Arthropoda,Hexanauplia,Mecynocera,9
Arthropoda,Hexanauplia,Megacyclops,2
Arthropoda,Hexanauplia,Mesocletodes,2
Arthropoda,Hexanauplia,Mesocyclops,168
Arthropoda,Hexanauplia,Metridia,57
Arthropoda,Hexanauplia,Mormonilla,2
Arthropoda,Hexanauplia,Nannocalanus,1
