Metagenome sample,euk_ORF_count,prok_ORF_count,total_ORF_count,euk_ORF_percent,prok_ORF_percent
Las19c107_75m-2,114013,1203090,1317103,0.08656346542373679,0.9134365345762632
Las19c107_75m-3,82055,1841409,1923464,0.04266001339250436,0.9573399866074956
Las19c135_13m-1,74330,1349713,1424043,0.05219645755079025,0.9478035424492097
Las19c135_13m-3,22664,259213,281877,0.08040386409675142,0.9195961359032486
Las19c135_5m-1,52043,1379828,1431871,0.03634615129435543,0.9636538487056445
Las19c135_5m-2,49773,1283785,1333558,0.03732346099682204,0.962676539003178
Las19c135_70m-1,80115,3404335,3484450,0.022992150841596233,0.9770078491584038
Las19c135_70m-2,50446,1963397,2013843,0.02504961906166469,0.9749503809383353
Las19c135_70m-3,42153,1678857,1721010,0.02449317551902662,0.9755068244809734
Las19c138_100m-1,32401,1633329,1665730,0.019451531760849596,0.9805484682391504
Las19c138_100m-2,25748,1463256,1489004,0.017292095924524045,0.9827079040754759
Las19c138_100m-3,898,12672,13570,0.06617538688282977,0.9338246131171702
Las19c138_27m-1,750960,3460149,4211109,0.17832832158939604,0.821671678410604
Las19c138_5m-1,74918,1146145,1221063,0.06135473763433991,0.93864526236566
Las19c138_5m-2,150287,1511512,1661799,0.09043632834055142,0.9095636716594486
zr2760_1,16690,1737980,1754670,0.009511760046048544,0.9904882399539514
zr2760_10,80314,5304055,5384369,0.01491613966279057,0.9850838603372094
zr2760_12,257977,16338022,16595999,0.015544529738764145,0.9844554702612358
zr2760_13,44714,5047357,5092071,0.00878110301289986,0.9912188969871002
zr2760_16,107562,5619444,5727006,0.018781541349878104,0.9812184586501219
zr2760_17,60577,4646954,4707531,0.012868104320502616,0.9871318956794973
zr2760_18,79649,6594487,6674136,0.011933979169738226,0.9880660208302617
zr2760_20,40936,4009095,4050031,0.010107576954349239,0.9898924230456507
zr2760_21,65585,5818882,5884467,0.011145444438723168,0.9888545555612769
zr2760_22,99132,6234669,6333801,0.01565126533024956,0.9843487346697505
zr2760_23,48713,4197435,4246148,0.011472280287922135,0.9885277197120779
zr2760_24,44608,4515780,4560388,0.009781623844286933,0.9902183761557131
zr2760_25,47506,4095267,4142773,0.011467198419995496,0.9885328015800044
zr2760_26,68950,5247893,5316843,0.012968221931698942,0.987031778068301
zr2760_27,57366,5281994,5339360,0.01074398429774355,0.9892560157022564
zr2760_28,75854,5048791,5124645,0.014801805783620134,0.9851981942163799
zr2760_29,53092,5378210,5431302,0.009775188343421153,0.9902248116565788
zr2760_30,79413,6446460,6525873,0.012168946591513503,0.9878310534084865
zr2760_31,96299,6575856,6672155,0.014432968059045391,0.9855670319409546
zr2760_32,72493,4313705,4386198,0.01652752566117626,0.9834724743388238
zr2760_33,33135,3735916,3769051,0.008791337660328821,0.9912086623396712
zr2760_34,49481,5562838,5612319,0.008816498135619162,0.9911835018643809
zr2760_35,119268,8550888,8670156,0.013756153868511709,0.9862438461314883
zr2760_36,55888,4984340,5040228,0.01108838727136947,0.9889116127286305
zr2760_37,147327,10163346,10310673,0.014288785998741305,0.9857112140012587
zr2760_38,79731,5417466,5497197,0.014503937188352536,0.9854960628116475
zr2760_39,82829,5897121,5979950,0.013851119156514687,0.9861488808434853
zr2760_40,76469,4541045,4617514,0.01656064280476464,0.9834393571952353
zr2760_41,55003,5607085,5662088,0.009714260887502985,0.9902857391124971
zr2760_42,35646,3721291,3756937,0.009488048375578297,0.9905119516244217
zr2760_43,192798,5412169,5604967,0.03439770475009041,0.9656022952499096
zr2760_44,41850,4284616,4326466,0.009673021815033333,0.9903269781849666
zr2760_45,94609,7012713,7107322,0.013311483565821276,0.9866885164341788
zr2760_46,48543,3688207,3736750,0.012990700475011708,0.9870092995249883
zr2760_47,49589,3301028,3350617,0.014799960723651794,0.9852000392763482
zr2760_48,61031,4048271,4109302,0.014851914023354817,0.9851480859766452
zr2760_49,50912,3990112,4041024,0.012598786842146941,0.987401213157853
zr2760_5,70868,7182863,7253731,0.009769868775117247,0.9902301312248828
zr2760_50,65783,5041463,5107246,0.012880327284019607,0.9871196727159804
zr2760_51,59591,4374231,4433822,0.013440097505041925,0.9865599024949581
zr2760_52,146174,6314594,6460768,0.022624864412404223,0.9773751355875958
zr2760_53,35152,3401153,3436305,0.010229592541989142,0.9897704074580108
zr2760_54,28161,2518916,2547077,0.011056202855272926,0.988943797144727
zr2760_55,60945,4530864,4591809,0.013272546832849537,0.9867274531671505
zr2760_56,58554,5159095,5217649,0.011222295712110952,0.988777704287889
zr2760_57,93892,5586495,5680387,0.016529155495919556,0.9834708445040804
zr2760_58,44666,4624020,4668686,0.009567145873592699,0.9904328541264072
zr2760_59,63798,4379111,4442909,0.014359510852011599,0.9856404891479884
zr2760_60,66076,4547929,4614005,0.014320747376736696,0.9856792526232633
zr2760_61,292774,5238131,5530905,0.052934194313588825,0.9470658056864112
zr2760_62,65368,5920121,5985489,0.01092107929694633,0.9890789207030537
zr2760_63,90393,4262520,4352913,0.020766093877823886,0.9792339061221761
zr2760_64,70579,3286286,3356865,0.021025272091668865,0.9789747279083312
zr2760_65,66252,3577821,3644073,0.01818075543492131,0.9818192445650787
zr2760_66,76260,3599716,3675976,0.02074551085208391,0.9792544891479161
zr2760_67,64850,3840593,3905443,0.016605030466454125,0.9833949695335459
zr2760_68,61180,3942350,4003530,0.015281514063838663,0.9847184859361613
zr2760_69,78970,3757712,3836682,0.02058288906925307,0.9794171109307469
zr2760_70,165887,3743392,3909279,0.04243416752807871,0.9575658324719213
zr2760_71,180732,3724456,3905188,0.04627997422915363,0.9537200257708464
zr2760_72,34452,3147742,3182194,0.010826492665123496,0.9891735073348765
zr2760_73,368279,3693260,4061539,0.0906747417666062,0.9093252582333938
zr2760_74,274774,2924329,3199103,0.08589095130728833,0.9141090486927117
zr2760_75,102158,3126093,3228251,0.031644999103229585,0.9683550008967704
zr2760_76,78115,2422991,2501106,0.031232182882292875,0.9687678171177071
zr2760_77,229916,3360654,3590570,0.06403328719395528,0.9359667128060447
zr2760_78,330149,3492567,3822716,0.08636503470307498,0.913634965296925
zr2760_79,70209,3605307,3675516,0.01910180774617768,0.9808981922538224
zr2760_8,22194,814056,836250,0.026539910313901346,0.9734600896860987
zr2760_80,74872,2583435,2658307,0.02816529467815418,0.9718347053218458
zr2760_81,44914,2055928,2100842,0.021379047067794723,0.9786209529322053
zr2760_82,276808,2377165,2653973,0.10429947855535833,0.8957005214446416
zr2760_83,50402,2206453,2256855,0.02233284814487417,0.9776671518551259
zr2760_88,113991,1412058,1526049,0.07469681510882023,0.9253031848911798
zr2760_90,59149,893248,952397,0.06210540352395062,0.9378945964760493
zr2760_91,66339,1892683,1959022,0.03386332567985454,0.9661366743201455
zr2760_92,46358,1640165,1686523,0.027487321548535063,0.9725126784514649
zr2760_93,38074,2220793,2258867,0.016855352705582045,0.983144647294418
zr2760_95,608883,523936,1132819,0.5374936331399809,0.4625063668600191
