Metagenome sample,Phylum,Class,count
D0152A_S39,Chlorophyta,Nephroselmidophyceae,0.0005547857571365622
D0152A_S39,Chlorophyta,Palmophyllophyceae,8.494327381995211e-05
D0152A_S39,Chlorophyta,Pedinophyceae,0.0002681022079942239
D0152A_S39,Chlorophyta,Picocystophyceae,0.00016988654763990422
D0152A_S39,Chlorophyta,Pyramimonadophyceae,0.0008786319885751297
D0152A_S39,Chlorophyta,Trebouxiophyceae,0.010673653250938359
D0152A_S39,Chlorophyta,Ulvophyceae,0.002357175848503671
D0152A_S39,Chlorophyta,unknown,0.005624837413264954
D0152A_S39,Choanoflagellata,Choanoflagellata,0.0004618790513959896
D0152A_S39,Chordata,Actinopteri,0.008982751206459937
D0152A_S39,Chordata,Amphibia,0.0012316774703893057
D0152A_S39,Chordata,Appendicularia,0.00040082607333789903
D0152A_S39,Chordata,Ascidiacea,0.00035835443642792295
D0152A_S39,Chordata,Aves,0.0035915077961998503
D0152A_S39,Chordata,Ceratodontiformes,5.0435068830596564e-05
D0152A_S39,Chordata,Chondrichthyes,0.0005468223252159417
D0152A_S39,Chordata,Cladistia,0.00018581341148114525
D0152A_S39,Chordata,Coelacanthiformes,6.105297805809058e-05
D0152A_S39,Chordata,Crocodylia,0.00017784997956052473
D0152A_S39,Chordata,Hyperoartia,0.0001459962518780427
D0152A_S39,Chordata,Lepidosauria,0.0008573961701201417
D0152A_S39,Chordata,Leptocardii,0.0003928626414172785
D0152A_S39,Chordata,Mammalia,0.006824661155971777
D0152A_S39,Chordata,Testudines,0.0007565260324589485
D0152A_S39,Chordata,unknown,0.0001566141611055367
D0152A_S39,Chrysomerophyceae,Chrysomerophyceae,7.96343192062051e-06
D0152A_S39,Chrysophyceae,Chrysophyceae,0.0003822447321897845
D0152A_S39,Chytridiomycota,Chytridiomycetes,0.0011785879242518355
D0152A_S39,Chytridiomycota,Monoblepharidomycetes,9.556118304744613e-05
D0152A_S39,Chytridiomycota,Neocallimastigomycetes,0.00030526489029045293
D0152A_S39,Ciliophora,Armophorea,2.6544773068735034e-06
D0152A_S39,Ciliophora,Colpodea,2.6544773068735034e-06
D0152A_S39,Ciliophora,Heterotrichea,0.0004618790513959896
D0152A_S39,Ciliophora,Litostomatea,1.8581341148114526e-05
D0152A_S39,Ciliophora,Oligohymenophorea,0.0017784997956052473
D0152A_S39,Ciliophora,Phyllopharyngea,7.96343192062051e-06
D0152A_S39,Ciliophora,Spirotrichea,0.0012476043342305467
D0152A_S39,Ciliophora,unknown,2.6544773068735034e-06
D0152A_S39,Cnidaria,Anthozoa,0.003801211503442857
D0152A_S39,Cnidaria,Cubozoa,5.308954613747007e-06
D0152A_S39,Cnidaria,Hydrozoa,0.0002999559356767059
D0152A_S39,Cnidaria,Myxozoa,9.556118304744613e-05
D0152A_S39,Cnidaria,Scyphozoa,7.96343192062051e-06
D0152A_S39,Cryptomycota,unknown,0.00018315893417427174
D0152A_S39,Cryptophyceae,Cryptophyceae,0.011377089737259836
D0152A_S39,Ctenophora,Tentaculata,2.1235818454988027e-05
D0152A_S39,Dictyochophyceae,Dictyochophyceae,0.0014227998364841979
D0152A_S39,Dicyemida,unknown,2.6544773068735034e-06
D0152A_S39,Dinophyceae,Dinophyceae,0.02355583162119547
D0152A_S39,Discosea,Flabellinia,1.592686384124102e-05
D0152A_S39,Discosea,Longamoebia,0.0002681022079942239
D0152A_S39,Echinodermata,Asteroidea,0.0005866394848190443
D0152A_S39,Echinodermata,Crinoidea,9.290670574057263e-05
D0152A_S39,Echinodermata,Echinoidea,0.0003503910045073025
D0152A_S39,Echinodermata,Holothuroidea,0.00020174027532238626
D0152A_S39,Echinodermata,Ophiuroidea,1.3272386534367518e-05
D0152A_S39,Endomyxa,Phytomyxea,0.0002787201172217179
D0152A_S39,Entoprocta,unknown,7.96343192062051e-06
D0152A_S39,Euglenozoa,Diplonemea,5.308954613747007e-06
D0152A_S39,Euglenozoa,Euglenida,0.0009715386943157022
D0152A_S39,Euglenozoa,Kinetoplastea,0.0017439915906158918
D0152A_S39,Eustigmatophyceae,Eustigmatophyceae,0.007785581941059986
D0152A_S39,Evosea,Eumycetozoa,0.0009529573531675878
D0152A_S39,Evosea,Mastigamoebida,0.00034508204989355546
D0152A_S39,Evosea,Pelobiontida,3.716268229622905e-05
D0152A_S39,Evosea,Variosea,0.00013803281995742217
D0152A_S39,Filasterea,Filasterea,0.0002282850483911213
D0152A_S39,Foraminifera,Miliolida,1.0617909227494013e-05
D0152A_S39,Foraminifera,Rotaliida,2.1235818454988027e-05
D0152A_S39,Foraminifera,unknown,0.00010883356958181365
D0152A_S39,Fornicata,Diplomonadida,0.0002123581845498803
D0152A_S39,Fornicata,unknown,0.00012210595611618117
D0152A_S39,Gastrotricha,Macrodasyida,7.96343192062051e-06
D0152A_S39,Glaucocystophyceae,Glaucocystophyceae,0.00032384623143856745
D0152A_S39,Gnathostomulida,Bursovaginoidea,7.96343192062051e-06
D0152A_S39,Haptophyta,Coccolithales,8.494327381995211e-05
D0152A_S39,Haptophyta,Coccosphaerales,2.6544773068735034e-06
D0152A_S39,Haptophyta,Isochrysidales,0.007217523797389056
D0152A_S39,Haptophyta,Pavlovales,0.0017625729317640065
D0152A_S39,Haptophyta,Phaeocystales,0.0042338913044632385
D0152A_S39,Haptophyta,Prymnesiales,0.004507302467071209
D0152A_S39,Haptophyta,unknown,0.0009449939212469673
D0152A_S39,Hemichordata,Enteropneusta,0.00013006938803680168
D0152A_S39,Heterolobosea,unknown,0.00041940741448601355
D0152A_S39,Ichthyosporea,Ichthyosporea,0.000390208164110405
D0152A_S39,Microsporidia,unknown,0.00038755368680353153
D0152A_S39,Mollusca,Bivalvia,0.0022908139158318336
D0152A_S39,Mollusca,Cephalopoda,0.0003503910045073025
D0152A_S39,Mollusca,Gastropoda,0.002099691549736941
D0152A_S39,Mollusca,Scaphopoda,2.6544773068735034e-06
D0152A_S39,Mucoromycota,Endogonomycetes,0.00029464698106295887
D0152A_S39,Mucoromycota,Glomeromycetes,0.0010272827177600459
D0152A_S39,Mucoromycota,Mortierellomycetes,0.0033260600655125
D0152A_S39,Mucoromycota,Mucoromycetes,0.004034805506447726
D0152A_S39,Mucoromycota,Umbelopsidomycetes,0.00017784997956052473
D0152A_S39,Mucoromycota,unknown,2.6544773068735034e-06
D0152A_S39,Nebulidia,Nebulidea,3.450820498935554e-05
D0152A_S39,Nematoda,Chromadorea,0.0042630905548388465
D0152A_S39,Nematoda,Enoplea,0.0007034364863214784
D0152A_S39,Nematoda,unknown,2.6544773068735034e-06
D0152A_S39,Nemertea,Enopla,2.6544773068735034e-06
D0152A_S39,Nemertea,Pilidiophora,2.1235818454988027e-05
D0152A_S39,Olisthodiscophyceae,Olisthodiscophyceae,6.105297805809058e-05
D0152A_S39,Olpidiomycota,Olpidiomycetes,6.370745536496408e-05
D0152A_S39,Onychophora,Udeonychophora,1.592686384124102e-05
D0152A_S39,Oomycota,Albuginales,0.0017678818863777533
D0152A_S39,Oomycota,Lagenidiales,4.778059152372306e-05
D0152A_S39,Oomycota,Leptomitales,2.6544773068735034e-06
D0152A_S39,Oomycota,Myzocytiopsidales,2.389029576186153e-05
D0152A_S39,Oomycota,Peronosporales,0.03404632593795956
D0152A_S39,Oomycota,Pythiales,0.00639463583225827
D0152A_S39,Oomycota,Saprolegniales,0.0211084035442581
D0152A_S39,Oomycota,unknown,0.00010883356958181365
D0152A_S39,Orthonectida,unknown,2.1235818454988027e-05
D0152A_S39,Parabasalia,Trichomonadida,4.778059152372306e-05
D0152A_S39,Parabasalia,Tritrichomonadida,5.0435068830596564e-05
D0152A_S39,Pelagophyceae,Pelagophyceae,0.005181539703017079
D0152A_S39,Perkinsozoa,Perkinsida,0.001988203502848254
D0152A_S39,Phaeophyceae,Phaeophyceae,0.011390362123794203
D0152A_S39,Phaeosacciophyceae,Phaeosacciophyceae,3.450820498935554e-05
D0152A_S39,Phaeothamniophyceae,Phaeothamniophyceae,6.901640997871109e-05
D0152A_S39,Phoronida,unknown,1.0617909227494013e-05
D0152A_S39,Picozoa,Picomonadea,2.6544773068735034e-06
D0152A_S39,Picozoa,unknown,3.185372768248204e-05
D0152A_S39,Pinguiophyceae,Pinguiophyceae,1.3272386534367518e-05
D0152A_S39,Placozoa,Uniplacotomia,0.0003079193675973264
D0152A_S39,Placozoa,unknown,2.6544773068735034e-06
D0152A_S39,Platyhelminthes,Cestoda,0.0006078753032740323
D0152A_S39,Platyhelminthes,Monogenea,0.00012476043342305465
D0152A_S39,Platyhelminthes,Rhabditophora,0.00019643132070863926
D0152A_S39,Platyhelminthes,Trematoda,0.0009370304893263467
D0152A_S39,Polycystinea,Polycystinea,2.6544773068735036e-05
D0152A_S39,Porifera,Calcarea,1.0617909227494013e-05
D0152A_S39,Porifera,Demospongiae,0.0002893380264492119
D0152A_S39,Porifera,Homoscleromorpha,7.43253645924581e-05
D0152A_S39,Prasinodermophyta,Prasinodermophyceae,3.450820498935554e-05
D0152A_S39,Preaxostyla,Oxymonadida,5.308954613747007e-05
D0152A_S39,Preaxostyla,unknown,5.308954613747007e-06
D0152A_S39,Priapulida,Priapulimorpha,0.0002070492299361333
D0152A_S39,Raphidophyceae,Raphidophyceae,0.00114407971926248
D0152A_S39,Rhodophyta,Bangiophyceae,0.0038357197084322127
D0152A_S39,Rhodophyta,Compsopogonophyceae,0.0014227998364841979
D0152A_S39,Rhodophyta,Florideophyceae,0.009638407101257691
D0152A_S39,Rhodophyta,Rhodellophyceae,0.0002176671391636273
D0152A_S39,Rhodophyta,Stylonematophyceae,0.00033711861797293494
D0152A_S39,Rhodophyta,unknown,7.69798418993316e-05
D0152A_S39,Rotifera,Eurotatoria,0.004178147281018895
D0152A_S39,Streptophyta,Andreaeopsida,3.185372768248204e-05
D0152A_S39,Streptophyta,Anthocerotopsida,3.981715960310255e-05
D0152A_S39,Streptophyta,Bryopsida,0.002888071309878372
D0152A_S39,Streptophyta,Charophyceae,0.0007883797601414306
D0152A_S39,Streptophyta,Chlorokybophyceae,0.00018050445686739825
D0152A_S39,Streptophyta,Coleochaetophyceae,0.0002203216164705008
D0152A_S39,Streptophyta,Cycadopsida,0.00011414252419556065
D0152A_S39,Streptophyta,Ginkgoopsida,1.3272386534367518e-05
D0152A_S39,Streptophyta,Gnetopsida,0.00010087013766119313
D0152A_S39,Streptophyta,Haplomitriopsida,3.185372768248204e-05
D0152A_S39,Streptophyta,Jungermanniopsida,0.0004963872563853452
D0152A_S39,Streptophyta,Klebsormidiophyceae,0.0007087454409352255
D0152A_S39,Streptophyta,Leiosporocerotopsida,1.592686384124102e-05
D0152A_S39,Streptophyta,Lycopodiopsida,0.001043209581601287
D0152A_S39,Streptophyta,Magnoliopsida,0.04652767823487877
D0152A_S39,Streptophyta,Marchantiopsida,0.001428108791097945
D0152A_S39,Streptophyta,Mesostigmatophyceae,7.43253645924581e-05
D0152A_S39,Streptophyta,Pinopsida,0.0006954730544008579
D0152A_S39,Streptophyta,Polypodiopsida,0.0005043506883059657
D0152A_S39,Streptophyta,Polytrichopsida,0.00011679700150243415
D0152A_S39,Streptophyta,Sphagnopsida,0.00019908579801551277
D0152A_S39,Streptophyta,Tetraphidopsida,4.512611421684956e-05
D0152A_S39,Streptophyta,Zygnemophyceae,0.0006662738040252494
D0152A_S39,Streptophyta,unknown,7.43253645924581e-05
D0152A_S39,Synurophyceae,Synurophyceae,0.0009582663077813348
D0152A_S39,Tardigrada,Eutardigrada,0.00011414252419556065
D0152A_S39,Tubulinea,Echinamoebida,1.0617909227494013e-05
D0152A_S39,Tubulinea,Elardia,2.6544773068735034e-06
D0152A_S39,Xanthophyceae,Xanthophyceae,0.005375316546418845
D0152A_S39,Xenacoelomorpha,Acoela,3.185372768248204e-05
D0152A_S39,Xenacoelomorpha,Nemertodermatida,5.308954613747007e-06
D0152A_S39,Xenacoelomorpha,unknown,4.2471636909976054e-05
D0152A_S39,Zoopagomycota,Basidiobolomycetes,0.00019377684340176577
D0152A_S39,Zoopagomycota,Dimargaritomycetes,8.22887965130786e-05
D0152A_S39,Zoopagomycota,Entomophthoromycetes,0.00018050445686739825
D0152A_S39,Zoopagomycota,Harpellomycetes,0.00029464698106295887
D0152A_S39,Zoopagomycota,Kickxellomycetes,0.0001539596837986632
D0152A_S39,Zoopagomycota,Zoopagomycetes,0.0002468663895392358
D0152A_S39,unknown,Ancyromonadida,1.592686384124102e-05
D0152A_S39,unknown,Apusomonadida,0.00019643132070863926
D0152A_S39,unknown,Colponemida,1.0617909227494013e-05
D0152A_S39,unknown,Jakobida,0.0005733670982846768
D0152A_S39,unknown,Malawimonadida,6.105297805809058e-05
D0152A_S39,unknown,Rotosphaerida,5.308954613747007e-05
D0152A_S39,unknown,Sticholonchida,2.1235818454988027e-05
D0152A_S39,unknown,Telonemida,0.0001566141611055367
D0152A_S39,unknown,Tsukubamonadida,1.0617909227494013e-05
D0152A_S39,unknown,unknown,0.0042312368271563644
D0057A_S3,Acantharea,Acantharea,2.462335067520745e-05
D0057A_S3,Annelida,Clitellata,0.0003025154511525487
D0057A_S3,Annelida,Polychaeta,0.0007562886278813717
D0057A_S3,Annelida,Sipuncula,1.4070486100118544e-05
D0057A_S3,Apicomplexa,Aconoidasida,0.0013226256934111432
D0057A_S3,Apicomplexa,Conoidasida,0.0025819341993717528
D0057A_S3,Apicomplexa,unknown,7.035243050059272e-06
D0057A_S3,Arthropoda,Arachnida,0.00840711544482083
D0057A_S3,Arthropoda,Branchiopoda,0.0016673526028640475
D0057A_S3,Arthropoda,Cephalocarida,3.517621525029636e-06
D0057A_S3,Arthropoda,Chilopoda,7.035243050059271e-05
D0057A_S3,Arthropoda,Collembola,0.0011713679678348689
D0057A_S3,Arthropoda,Diplopoda,9.145815965077054e-05
