Metagenome sample,Phylum,Class,percent_TPM,ASV sample,18S reads
Las19c135_13m-1,Annelida,Clitellata,1.3780574709700233e-06,CN19_Nisk_Dav_Dusk_13m_1,0.0
Las19c135_13m-3,Annelida,Clitellata,4.814139012319229e-06,CN19_Nisk_Dav_Dusk_13m_3,0.0
Las19c135_5m-1,Annelida,Clitellata,1.6299958728809743e-06,CN19_Nisk_Dav_Dusk_5m_1,0.0
Las19c135_5m-2,Annelida,Clitellata,1.1889301048357334e-06,CN19_Nisk_Dav_Dusk_5m_2,0.0
Las19c135_70m-1,Annelida,Clitellata,2.831193674647049e-06,CN19_Nisk_Dav_Dusk_70m_1,0.0
Las19c135_70m-3,Annelida,Clitellata,1.4266176734715304e-06,CN19_Nisk_Dav_Dusk_70m_3,0.0
1903c144_13m-1,Annelida,Clitellata,1.0566289756034144e-05,CN19_Nisk_Far_13m_1,0.0
1903c144_13m-2,Annelida,Clitellata,6.548002980181921e-07,CN19_Nisk_Far_13m_2,0.0
1903c144_5m-1,Annelida,Clitellata,2.268735988163016e-06,CN19_Nisk_Far_5m_1,0.0
1903c144_5m-2,Annelida,Clitellata,3.239057313131741e-06,CN19_Nisk_Far_5m_2,0.0
1903c144_60m-1,Annelida,Clitellata,1.1789302077878696e-06,CN19_Nisk_Far_60m_1,0.0
1903c144_60m-2,Annelida,Clitellata,1.8805560666852544e-06,CN19_Nisk_Far_60m_2,0.0
1903c144_60m-3,Annelida,Clitellata,2.523669523484892e-06,CN19_Nisk_Far_60m_3,0.0
1903c129_100m-1,Annelida,Clitellata,1.1018058564546803e-06,CN19_Nisk_MO_Dawn_100m_1,0.0
1903c129_100m-2,Annelida,Clitellata,2.0279592549049663e-06,CN19_Nisk_MO_Dawn_100m_2,0.0
1903c129_100m-3,Annelida,Clitellata,1.7355869052130305e-06,CN19_Nisk_MO_Dawn_100m_3,0.0
1903c129_26m-1,Annelida,Clitellata,3.1431228469505943e-06,CN19_Nisk_MO_Dawn_26m_1,0.0
1903c129_26m-2,Annelida,Clitellata,2.988358098000104e-06,CN19_Nisk_MO_Dawn_26m_2,0.0
1903c129_5m-1,Annelida,Clitellata,1.0428072901796525e-06,CN19_Nisk_MO_Dawn_5m_1,0.0
1903c129_5m-2,Annelida,Clitellata,1.5845003659932965e-06,CN19_Nisk_MO_Dawn_5m_2,0.0
1903c127_100m-3,Annelida,Clitellata,3.38769448800704e-06,CN19_Nisk_MO_Night_100m_3,0.0
1903c127_5m-1,Annelida,Clitellata,1.841082627217308e-06,CN19_Nisk_MO_Night_5m_1,0.0
1903c127_7m-1,Annelida,Clitellata,4.7137057711424187e-07,CN19_Nisk_MO_Night_7m_1,0.0
1903c126_100m-1,Annelida,Clitellata,1.4761619643612397e-06,CN19_Nisk_PB_Dawn_100m_1,0.0
1903c126_100m-2,Annelida,Clitellata,5.555656416593818e-07,CN19_Nisk_PB_Dawn_100m_2,0.0
1903c126_100m-3,Annelida,Clitellata,1.8206316655815493e-06,CN19_Nisk_PB_Dawn_100m_3,0.0
1903c126_45m-1,Annelida,Clitellata,4.531321851907398e-06,CN19_Nisk_PB_Dawn_45m_1,0.0
1903c126_45m-2,Annelida,Clitellata,2.1831756613640347e-06,CN19_Nisk_PB_Dawn_45m_2,0.0
1903c126_5m-1,Annelida,Clitellata,3.7960800877585605e-07,CN19_Nisk_PB_Dawn_5m_1,0.0
1903c126_5m-2,Annelida,Clitellata,2.639109155644268e-06,CN19_Nisk_PB_Dawn_5m_2,0.0
1903c122_100m-1,Annelida,Clitellata,1.779759194716129e-06,CN19_Nisk_PB_Day_100m_1,0.0
1903c122_100m-2,Annelida,Clitellata,7.743153328672695e-07,CN19_Nisk_PB_Day_100m_2,0.0
1903c122_100m-3,Annelida,Clitellata,3.1646702156060814e-07,CN19_Nisk_PB_Day_100m_3,0.0
1903c122_28m-1,Annelida,Clitellata,2.046862195049191e-05,CN19_Nisk_PB_Day_28m_1,0.0
1903c122_28m-2,Annelida,Clitellata,8.438553537830845e-06,CN19_Nisk_PB_Day_28m_2,0.0
1903c122_5m-1,Annelida,Clitellata,2.9574023532451557e-06,CN19_Nisk_PB_Day_5m_1,0.0
1903c122_5m-2,Annelida,Clitellata,8.07511326615092e-06,CN19_Nisk_PB_Day_5m_2,0.0
1903c123_10m-1,Annelida,Clitellata,3.9792620727770365e-06,CN19_Nisk_PB_Dusk_10m_1,0.0
1903c123_10m-2,Annelida,Clitellata,8.68766139610311e-07,CN19_Nisk_PB_Dusk_10m_2,0.0
1903c123_5m-2,Annelida,Clitellata,1.4501286767195534e-06,CN19_Nisk_PB_Dusk_5m_2,0.0
1903c123_70m-1,Annelida,Clitellata,5.438359866598734e-06,CN19_Nisk_PB_Dusk_70m_1,0.0
1903c123_70m-2,Annelida,Clitellata,2.418089315234792e-06,CN19_Nisk_PB_Dusk_70m_2,0.0
