Phylum,Class,18S sample,18S reads
Acantharea,Acantharea,CN18SESPkoa_SC36,0.002286063
Acantharea,Acantharea,CN18SESPkoa_SC37,0.000934579
Acantharea,Acantharea,CN18SESPkoa_SC39,0.001138276
Acantharea,Acantharea,CN18SESPkoa_SC40,0.001049218
Acantharea,Acantharea,CN18SESPkoa_SC41,0.002242488
Acantharea,Acantharea,CN18SESPkoa_SC44,0.00193443
Acantharea,Acantharea,CN18SESPkoa_SC45,0.000479272
Acantharea,Acantharea,CN18SESPkoa_SC47,0.001058724
Acantharea,Acantharea,CN18SESPkoa_SC49,0.00171723
Acantharea,Acantharea,CN18Sc09_2_eDNA,0.001482693
Acantharea,Acantharea,CN18Sc10_2_eDNA,0.00090328
Acantharea,Acantharea,CN18Sc14_2_eDNA,0.000777884
Acantharea,Acantharea,CN18Sc14_8_eDNA,0.001499842
Acantharea,Acantharea,CN18Sc15_2_eDNA,0.001512641
Acantharea,Acantharea,CN18Sc15_8_eDNA,0.00147461
Acantharea,Acantharea,CN18Sc18_2_eDNA,0.000968627
Acantharea,Acantharea,CN18Sc18_8_eDNA,0.002449855
Acantharea,Acantharea,CN18Sc27_2_eDNA,0.000800075
Acantharea,Acantharea,CN18Sc27_8_eDNA,0.001752967
Acantharea,Acantharea,CN19_Buck1_SN_0m_1,0.000114566
Acantharea,Acantharea,CN19_Buck1_SN_0m_2,0
Acantharea,Acantharea,CN19_Buck2_SN_0m_1,0
Acantharea,Acantharea,CN19_Buck2_SN_0m_2,0
Acantharea,Acantharea,CN19_Buck3_SN_0m_1,0.000274227
Acantharea,Acantharea,CN19_Buck4_SM_Night_0m_1,0
Acantharea,Acantharea,CN19_Buck4_SM_Night_0m_2,6.64E-05
Acantharea,Acantharea,CN19_Buck5_0m_1,0
Acantharea,Acantharea,CN19_Buck5_0m_2,0
Acantharea,Acantharea,CN19_Buck6_Dav_Night_0m_1,2.40E-05
Acantharea,Acantharea,CN19_Buck6_Dav_Night_0m_2,0
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_100m_1,0.001606308
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_100m_2,0.001470238
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_100m_3,0
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_27m_1,0.000302969
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_27m_2,0.000156291
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_5m_1,2.66E-05
Acantharea,Acantharea,CN19_Nisk_Dav_Dawn_5m_2,0
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_13m_1,0
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_13m_3,2.03E-05
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_5m_1,0
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_5m_2,0
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_70m_1,0.000976018
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_70m_2,0.001490807
Acantharea,Acantharea,CN19_Nisk_Dav_Dusk_70m_3,0.001637131
Acantharea,Acantharea,CN19_Nisk_Dav_Predusk_12m_1,0.000184663
Acantharea,Acantharea,CN19_Nisk_Far_13m_1,0
Acantharea,Acantharea,CN19_Nisk_Far_13m_2,0
