,Lasker18Sc122_3_D0052_VV,Lasker18Sc122_5_D0053_VV,Lasker18Sc122_17_D0057_VV,Lasker18Sc122_19_D0058_VV,Lasker18Sc123_3_D0063_VV,Lasker18Sc123_5_D0064_VV,Lasker18Sc123_17_D0068_VV,Lasker18Sc123_19_D0069_VV,Lasker18Sc124_3_D0073_VV,Lasker18Sc124_5_D0074_VV,Lasker18Sc124_17_D0078_VV,Lasker18Sc124_19_D0079_VV,Lasker18Sc126_3_D0085_VV,Lasker18Sc126_5_D0086_VV,Lasker18Sc126_17_D0090_VV,Lasker18Sc127_3_D0095_VV,Lasker18Sc127_5_D0096_VV,Lasker18Sc127_17_D0100_VV,Lasker18Sc127_19_D0101_VV,Lasker18Sc128_3_D0105_VV,Lasker18Sc128_7_D0107_VV,Lasker18Sc128_16_D0110_VV,Lasker18Sc128_19_D0111_VV,Lasker18Sc129_3_D0116_VV,Lasker18Sc129_5_D0117_VV,Lasker18Sc129_17_D0121_VV,Lasker18Sc129_19_D0122_VV,Lasker18Sc130_3_D0127_VV,Lasker18Sc130_5_D0128_VV,Lasker18Sc130_17_D0132_VV,Lasker18Sc130_19_D0133_VV,Lasker18Sc132_3_D0137_VV,Lasker18Sc132_5_D0138_VV,Lasker18Sc132_17_D0142_VV,Lasker18Sc132_19_D0143_VV,Lasker18Sc133_3_D0147_VV,Lasker18Sc133_5_D0148_VV,Lasker18Sc133_17_D0152_VV,Lasker18Sc133_19_D0153_VV,Lasker18Sc134_3_D0158_VV,Lasker18Sc134_5_D0159_VV,Lasker18Sc134_17_D0163_VV,Lasker18Sc134_19_D0164_VV,Lasker18Sc135_17_D0173_VV,Lasker18Sc135_19_D0174_VV,Lasker18Sc158_3_D0270_VV,Lasker18Sc158_5_D0271_VV,Lasker18Sc158_17_D0275_VV,Lasker18Sc158_19_D0276_VV,CN19_Nisk_SM_Night_100m_1_CX,CN19_Nisk_SM_Day_5m_1_CX,CN19_Nisk_SM_Day_5m_2_CX,CN19_Nisk_SM_Day_10m_1_CX,CN19_Nisk_SM_Day_10m_2_CX,CN19_Nisk_SM_Day_100m_1_CX,CN19_Nisk_SM_Day_100m_2_CX,CN19_Nisk_SM_Day_100m_3_CX,CN19_Nisk_SM_Dusk_5m_2_CX,CN19_Nisk_SM_Dusk_50m_2_CX,CN19_Nisk_SM_Dusk_100m_1_CX,CN19_Nisk_SM_Dusk_100m_2_CX,CN19_Nisk_SM_Dusk_100m_3_CX,CN19_Nisk_SM_Night_5m_1_CX,CN19_Nisk_SM_Night_5m_2_CX,CN19_Nisk_SM_Night_23m_1_CX,CN19_Nisk_SM_Night_23m_2_CX,CN19_Nisk_SM_Night_100m_2_CX,CN19_Nisk_SM_Night_100m_3_CX,CN19_Buck4_SM_Night_0m_1_CX,CN19_Buck4_SM_Night_0m_2_CX,CN19_Nisk_SM_Dawn_11m_1_CX,CN19_Nisk_PB_Day_100m_3_CX,CN19_Nisk_PB_Dusk_70m_3_CX,CN19_Nisk_PB_Night_5m_1_CX,CN19_Nisk_PB_Night_15m_1_CX,CN19_Nisk_SM_Dawn_5m_1_CX,CN19_Nisk_SM_Dawn_11m_2_CX,CN19_Nisk_SM_Dawn_100m_1_CX,CN19_Nisk_SM_Dawn_100m_2_CX,CN19_Nisk_SM_Dawn_100m_3_CX,CN19_Nisk_PB_Day_5m_1_CX,CN19_Nisk_PB_Day_5m_2_CX,CN19_Nisk_PB_Day_28m_1_CX,CN19_Nisk_PB_Day_28m_2_CX,CN19_Nisk_PB_Day_100m_1_CX,CN19_Nisk_PB_Day_100m_2_CX,CN19_Nisk_PB_Dusk_5m_1_CX,CN19_Nisk_PB_Dusk_5m_2_CX,CN19_Nisk_PB_Dusk_10m_1_CX,CN19_Nisk_PB_Dusk_10m_2_CX,CN19_Nisk_PB_Dusk_70m_1_CX,CN19_Nisk_PB_Dusk_70m_2_CX,CN19_Nisk_PB_Night_15m_2_CX,CN19_Nisk_PB_Night_100m_2_CX,CN19_Buck5_0m_1_CX,CN19_Nisk_PB_Dawn_5m_1_CX,CN19_Nisk_PB_Dawn_45m_1_CX,CN19_Nisk_PB_Dawn_45m_2_CX,CN19_Nisk_PB_Dawn_100m_2_CX,CN19_Nisk_MO_Night_7m_1_CX,CN19_Nisk_MO_Night_7m_2_CX,CN19_Nisk_MO_Night_100m_3_CX,CN19_Nisk_MO_Dawn_5m_2_CX,CN19_Nisk_MO_Dawn_26m_2_CX,CN19_Nisk_MO_Dawn_100m_2_CX,CN19_Nisk_MO_Dawn_100m_3_CX,CN19_Nisk_PS_Dusk_75m_2_CX,CN19_Nisk_PS_Dusk_10m_2_CX,CN19_Nisk_PS_Dawn_10m_2_CX,CN19_Nisk_PS_Dawn_100m_2_CX,CN19_Nisk_PS_Dawn_100m_3_CX,CN19_Buck1_SN_0m_1_CX,CN19_Buck1_SN_0m_2_CX,CN19_Buck2_SN_0m_1_CX,CN19_Buck3_SN_0m_1_CX,CN19_Nisk_SM_Dusk_5m_1_CX,CN19_Nisk_PB_Night_5m_2_CX,CN19_Nisk_PB_Night_100m_3_CX,CN19_Buck5_0m_2_CX,CN19_Nisk_PB_Dawn_5m_2_CX,CN19_Nisk_PB_Dawn_100m_1_CX,CN19_Nisk_PB_Dawn_100m_3_CX,CN19_Nisk_MO_Night_5m_1_CX,CN19_Nisk_MO_Dawn_100m_1_CX,CN19_Nisk_Far_5m_1_CX,CN19_Nisk_Far_5m_2_CX,CN19_Nisk_PS_Dusk_75m_1_CX,CN19_Nisk_PS_Dusk_75m_3_CX,CN19_Nisk_PS_Dusk_10m_1_CX,CN19_Nisk_PS_Dusk_5m_1_CX,CN19_Nisk_PS_Dusk_5m_2_CX,CN19_Nisk_PS_Dawn_5m_1_CK,CN19_Nisk_PS_Dawn_10m_1_CK,CN19_Nisk_PS_Dawn_100m_1_CK,CN19_Buck2_SN_0m_2_CK,CN19_Nisk_SM_Dusk_50m_1_CK,CN19_Nisk_MO_Dawn_5m_1_CK,CN19_Nisk_Dav_Dawn_27m_2_CK,CN19_Nisk_Dav_Dusk_5m_1_CK,CN19_Nisk_Dav_Dusk_5m_2_CK,CN19_Nisk_Dav_Dusk_13m_1_CK,CN19_Nisk_Dav_Dusk_13m_3_CK,CN19_Nisk_Dav_Dusk_70m_1_CK,CN19_Nisk_Dav_Dusk_70m_2_CK,CN19_Nisk_Dav_Dusk_70m_3_CK,CN19_Buck6_Dav_Night_0m_1_CK,CN19_Buck6_Dav_Night_0m_2_CK,CN19_Nisk_Dav_Predusk_12m_1_CK,CN19_Nisk_MO_Night_5m_2_CK,CN19_Nisk_MO_Night_100m_2_CK,CN19_Nisk_MO_Dawn_26m_1_CK,CN19_Nisk_Dav_Dawn_5m_1_CK,CN19_Nisk_Dav_Dawn_5m_2_CK,CN19_Nisk_Dav_Dawn_27m_1_CK,CN19_Nisk_Dav_Dawn_100m_1_CK,CN19_Nisk_Dav_Dawn_100m_2_CK,CN19_Nisk_Dav_Dawn_100m_3_CK,CN19_Nisk_Far_13m_1_CK,CN19_Nisk_Far_13m_2_CK,CN19_Nisk_Far_60m_1_CK,CN19_Nisk_Far_60m_2_CK,CN19_Nisk_Far_60m_3_CK,CN18Sc09_2_eDNA_Y,CN18Sc10_2_eDNA_Y,CN18Sc14_2_eDNA_Y,CN18Sc14_8_eDNA_Y,CN18Sc15_2_eDNA_Y,CN18Sc15_8_eDNA_Y,CN18Sc18_2_eDNA_Y,CN18Sc18_8_eDNA_Y,CN18Sc27_2_eDNA_Y,CN18Sc27_8_eDNA_Y,CN18SESPkoa_SC49_Y,CN18SESPkoa_SC47_Y,CN18SESPkoa_SC45_Y,CN18SESPkoa_SC44_Y,CN18SESPkoa_SC41_Y,CN18SESPkoa_SC40_Y,CN18SESPkoa_SC39_Y,CN18SESPkoa_SC37_Y,CN18SESPkoa_SC36_Y,CN18FESPkoa_SC24_FF,CN18FESPkoa_SC26_FF,CN18FESPkoa_SC29_FF,CN18FESPkoa_SC30_FF,CN18FESPkoa_SC31_FF,CN18FESPkoa_SC32_FF,CN18FESPkoa_SC34_FF,CN18FESPkoa_SC35_FF,CN18FESPkoa_SC37_FF,CN18FESPkoa_SC40_FF,CN18FESPkoa_SC41_FF,CN18FESPkoa_SC43_FF,CN18FESPkoa_SC44_FF,CN18FESPkoa_SC46_FF,CN18FESPkoa_SC47_FF,CN18FESPkoa_SC49_FF,CN18FESPkoa_SC52_FF,CN18FESPkoa_SC53_FF,CN18FESPkoa_SC55_FF,CN18FESPkoa_SC56_FF,CN18FESPkoa_SC57_FF,CN18FESPkoa_SC58_FF,CN18Fc12_8_eDNA_GG,CN18Fc19_5_eDNA_GG,CN18Fc21_6_eDNA_GG,CN18Fc22_6_eDNA_GG,CN18Fc24_6_eDNA_GG,CN18Fc25_5_eDNA_GG,CN18Fc27_4_eDNA_GG,CN18Fc29_6_eDNA_GG,CN18Fc30_4_eDNA_GG,CN18Fc32_4_eDNA_GG,CN18Fc33_5_eDNA_GG,CN18Fc35_5_eDNA_GG,CN18Fc36_6_eDNA_GG,CN18Fc38_5_eDNA_GG,CN18Fc40_6_eDNA_GG,CN18Fc41_6_eDNA_GG,CN18Fc43_5_eDNA_GG,CN18Fc44_8_eDNA_GG,CN18Fc46_8_eDNA_GG,CN18Fc47_6_eDNA_GG,CN18Fc49_6_eDNA_GG,CN18Fc51_5_eDNA_GG
ASV_1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1327,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,5,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,2,5,0,0,0,33,39,0,1,0,141,161,76,179,0,84,0,2,2,0,10,4,0,4,0,0,0,17,12,32,30,73,0,0,0,4,5,2,48,4,5,15,8,37,25,24,0,39,22,0,57,59,0,0,0,0,112,0,0,79,128,212,152,111,27,2,28,39,0,0,26,0,0,0,6,0,8,5,2,178,81,0,153,78,79,6,103,102,117,65,0,0,0,7,0,5,74,1,117,55,27,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,5,0,0,0,2,4,0,12,0,0,11,1,0,3,0,3,2,3,0,8,1,0,2,3,0,0,0,0,4,0,0,6,0,4,0,4,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,2
ASV_1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,16,0,0,12,0,0,0,0,0,0,0,0,3,6,6,15,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,13,0,0,0,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,32,48,0,0,12,0,0,0,0,0,1,0,44,29,347,87,2,4,0,0,0,0,0,109,0,42,56,0,0,0,0,0,0,0,0,510,0,2,14,133,128,7,5,1,1,0,837,24,3,72,0,9,123,141,0,0,0,0,78,57,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,9,0,5,0,1,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_1331,3,2,0,0,15,31,0,0,0,0,0,0,5,2,0,0,14,2,0,0,2,0,0,3,5,3,0,8,14,0,3,16,8,5,2,5,11,1,2,16,9,0,0,0,0,13,6,4,4,2,2,0,0,0,1,2,0,3,2,14,0,12,1,6,5,5,7,22,0,0,0,0,8,0,0,0,0,19,41,10,9,4,58,93,0,6,8,6,6,3,20,9,1,12,0,0,9,5,0,9,6,10,72,38,0,0,1,2,5,11,0,3,10,10,2,4,0,2,1,0,0,0,12,7,1,0,4,9,0,3,0,0,10,43,5,5,55,25,4,0,0,4,5,13,34,53,0,1,16,14,49,27,9,4,13,20,0,6,0,56,125,50,15,9,6,6,12,12,4,15,0,20,20,21,2,8,13,11,8,26,24,0,3,0,0,2,4,0,0,4,0,0,4,0,3,1,0,2,5,2,4,6,5,0,0,0,0,1,0,1,0,0,17,0,2,6,6,2,0,3,5,4,0,6,5
ASV_1333,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,31,78,75,122,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,55,4,12,3,37,54,137,4,1,30,0,0,0,3,3,2,38,16,64,27,16,33,9,2,0,0,0,0,0,0,0,5,0,0,3,0,0,224,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,17,29,58,13,9,13,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,1,0,1,0,17,20,14,3,2,4,0,4,1,0,0,0,0,3,10,11,5,12,2,16,3,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1334,2,17,0,0,5,10,0,0,2,21,6,2,14,5,0,3,5,0,0,0,0,0,0,2,7,0,0,8,7,0,0,0,8,0,0,3,2,0,0,1,4,0,0,0,0,1,0,0,0,7,0,0,0,0,2,0,7,0,0,7,0,7,0,3,0,2,7,22,1,0,0,3,0,0,0,0,2,10,0,2,1,0,0,0,18,7,0,0,0,0,1,1,0,5,0,0,1,15,6,0,0,1,0,0,14,6,2,4,0,13,3,0,1,0,5,0,2,6,6,0,5,0,0,0,0,0,1,4,0,0,2,0,0,4,4,1,0,0,0,0,3,0,0,1,2,0,0,8,0,3,0,0,0,4,11,17,0,0,0,2,3,9,0,12,2,16,0,0,4,1,2,2,4,7,12,1,0,0,1,6,5,130,113,100,63,85,121,122,125,44,134,80,87,125,107,90,62,79,85,126,114,64,87,65,31,76,55,57,115,51,56,8,178,35,136,80,40,32,37,82,69,33,16,17,32
ASV_1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,5,6,43,18,1,2,1,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,32,0,0,1,79,60,0,7,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASV_1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,2,51,8,1,0,4,4,0,1,2,11,84,0,20,3,4,8,0,0,76,175,0,0,36,0,0,7,0,101,93,14,40,208,21,488,49,47,98,139,14,0,175,0,0,0,9,1,26,55,100,100,88,429,426,106,99,0,0,0,0,1,272,362,34,0,17,0,0,68,172,59,3,10,16,10,15,0,130,178,70,0,0,0,0,170,1,462,513,222,468,214,252,255,51,61,19,6,289,0,220,140,51,132,217,1,18,53,6313,320,2,170,0,50,0,0,0,0,0,0,356,387,28,2,18,1,0,0,0,0,24,0,8,0,12,78,24,5,14,5,0,18,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1337,0,0,4,21,0,0,0,0,0,4,166,143,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,17,7,6,0,0,0,0,0,25,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,10,3,3,0,1,3,1,3,0,5,15,9,1,1,19,7,2,0,0,1,3,0,3,1,6,3,0,5,0,0,0,0,1,0,0,0,1,0,0
ASV_1338,3,8,0,0,17,42,0,0,0,7,0,0,60,55,0,69,114,0,0,0,0,0,0,8,7,0,0,42,19,0,0,20,49,0,0,36,26,1,0,2,15,0,0,0,0,12,0,0,0,24,1,0,0,0,86,134,0,0,0,56,0,0,0,0,0,0,38,16,0,0,0,0,0,1,0,0,0,25,204,30,0,0,0,0,52,67,0,0,4,0,19,3,0,18,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,91,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,45,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,24,47,49,1,0,0,0,94,0,0,0,0,15,54,0,0,9,133,163,97,189,108,35,15,76,1,48,0,8,0,220,170,65,0,0,25,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1340,0,3,0,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,3,1,7,3,0,10,0,4,0,9,0,9,19,5,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV_1341,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,6,22,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,17,0,0,17,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,14,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,10,0,0,64,0,0,0,0,0,0,0,0,4,45,92,0,0,0,0,18,0,0,0,0,63,0,0,0,0,297,330,284,163,49,56,4,83,0,0,0,26,0,27,324,25,0,0,15,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1344,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,5,2,0,0,35,39,0,0,78,42,4,3,60,39,1,4,0,2,1,1,0,0,0,1,2,0,0,0,4,3,0,0,0,0,0,2,3,1,0,12,4,10,0,4,0,2,7,1,0,0,21,5,0,5,5,0,0,1,3,2,5,10,6,5,0,0,1,0,0,0,11,4,0,16,3,0,0,3,3,1,0,0,5,10,0,0,4,0,0,0,0,0,0,13,0,5,9,0,0,3,5,4,0,0,0,8,9,8,0,17,16,8,10,0,0,0,141,4,2,19,0,4,75,68,0,0,0,0,3,8,0,0,0,0,0,0,0,0,7,8,1,0,7,0,0,0,25,38,0,12,0,7,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV_1346,2,12,0,0,2,8,0,0,3,8,0,0,11,7,0,10,34,0,0,4,14,2,0,2,0,0,0,5,21,0,0,13,10,0,0,9,9,0,0,3,0,0,0,0,0,3,1,5,0,4,0,0,0,0,9,29,71,0,0,2,0,31,0,0,0,0,6,19,0,0,0,24,2,0,1,0,0,7,32,11,0,0,0,0,25,59,0,0,2,0,2,2,0,22,0,0,0,0,28,0,0,34,0,0,18,22,8,4,0,39,15,0,0,0,0,0,0,15,0,0,44,42,0,7,0,0,27,5,0,0,1,0,0,8,0,0,0,0,0,0,0,0,2,11,17,0,0,0,0,26,0,0,0,0,44,54,0,0,0,14,27,12,18,36,40,15,19,0,18,1,24,0,15,26,33,0,0,21,0,25,0,1,8,5,0,3,6,2,0,1,0,1,2,8,0,0,0,3,1,2,3,0,3,4,0,0,0,0,5,1,0,0,3,0,0,2,0,0,0,3,1,1,0,2,0
ASV_1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1349,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,134,0,0,0,0,166,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,1,21,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,4,0,0,46,0,0,0,0,0,0,0,0,93,244,179,54,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,122,0,33,0,4,1,0,0,0,0,0,110,0,0,1,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1352,0,0,21,42,0,0,2,0,0,0,4,12,0,0,1,0,0,4,0,0,0,4,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,0,0,0,2,4,0,0,0,145,104,52,87,0,0,7,9,1,0,9,1,4,4,5,0,0,2,451,399,18,81,0,0,2,4,1,6,0,5,2,13,297,421,371,423,0,1,0,0,198,334,0,0,1,0,52,4,0,5,38,42,20,28,4,7,297,558,26,0,2,0,0,0,7,8,3,1,0,107,60,0,25,12,188,0,0,1,0,0,0,0,0,12,1,445,2,0,530,159,135,464,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,5,0,3,0,5,3,1,0,0,2,2,0,0,2,2,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,9,15
