COI sample,total COI reads,total COI bps
CN18FESPkoa_SC52,75736.0,24311256.0
CN18FESPkoa_SC53,138563.0,44478723.0
CN18FESPkoa_SC55,67708.0,21734268.0
CN18FESPkoa_SC56,118489.0,38034969.0
CN18FESPkoa_SC57,119438.0,38339598.0
CN18FESPkoa_SC58,110346.0,35421066.0
CN18Fc12_8_eDNA,42119.0,13520199.0
CN18Fc19_5_eDNA,67727.0,21740367.0
CN18Fc21_6_eDNA,68169.0,21882249.0
CN18Fc22_6_eDNA,82057.0,26340297.0
CN18Fc24_6_eDNA,80879.0,25962159.0
CN18Fc25_5_eDNA,75408.0,24205968.0
CN18Fc27_4_eDNA,68476.0,21980796.0
CN18Fc29_6_eDNA,80935.0,25980135.0
CN18Fc30_4_eDNA,75450.0,24219450.0
CN18Fc32_4_eDNA,117954.0,37863234.0
CN18Fc33_5_eDNA,92967.0,29842407.0
CN18Fc35_5_eDNA,126846.0,40717566.0
CN18Fc36_6_eDNA,114194.0,36656274.0
CN18Fc38_5_eDNA,99543.0,31953303.0
CN18Fc40_6_eDNA,102595.0,32932995.0
CN18Fc41_6_eDNA,105415.0,33838215.0
CN18Fc43_5_eDNA,68591.0,22017711.0
CN18Fc44_8_eDNA,91548.0,29386908.0
CN18Fc46_8_eDNA,85927.0,27582567.0
CN18Fc47_6_eDNA,83219.0,26713299.0
CN18Fc49_6_eDNA,86790.0,27859590.0
CN18Fc51_5_eDNA,80529.0,25849809.0
CN18SESPkoa_SC36,74608.0,23949168.0
CN18SESPkoa_SC37,69330.0,22254930.0
CN18SESPkoa_SC39,58459.0,18765339.0
CN18SESPkoa_SC40,64520.0,20710920.0
CN18SESPkoa_SC41,71582.0,22977822.0
CN18SESPkoa_SC44,60312.0,19360152.0
CN18SESPkoa_SC45,53530.0,17183130.0
CN18SESPkoa_SC47,88117.0,28285557.0
CN18SESPkoa_SC49,84379.0,27085659.0
CN18Sc09_2_eDNA,65696.0,21088416.0
CN18Sc10_2_eDNA,80648.0,25888008.0
CN18Sc14_2_eDNA,68493.0,21986253.0
CN18Sc14_8_eDNA,43553.0,13980513.0
CN18Sc15_2_eDNA,46167.0,14819607.0
CN18Sc15_8_eDNA,75237.0,24151077.0
CN18Sc18_2_eDNA,39193.0,12580953.0
CN18Sc18_8_eDNA,52985.0,17008185.0
CN18Sc27_2_eDNA,44275.0,14212275.0
CN18Sc27_8_eDNA,60531.0,19430451.0
CN19_Nisk_SM_Night_5m_1,94172.0,30229212.0
CN19_Nisk_SM_Night_5m_2,88749.0,28488429.0
CN19_Nisk_SM_Night_23m_1,163170.0,52377570.0
CN19_Nisk_SM_Night_100m_1,116727.0,37469367.0
CN19_Nisk_SM_Day_5m_2,104638.0,33588798.0
CN19_Nisk_SM_Day_10m_1,97725.0,31369725.0
CN19_Nisk_SM_Day_10m_2,92562.0,29712402.0
CN19_Nisk_SM_Day_100m_1,58821.0,18881541.0
CN19_Nisk_SM_Day_100m_2,82497.0,26481537.0
CN19_Nisk_SM_Day_100m_3,88563.0,28428723.0
CN19_Nisk_SM_Dusk_50m_2,86504.0,27767784.0
CN19_Nisk_SM_Dusk_100m_1,97736.0,31373256.0
CN19_Nisk_SM_Dusk_100m_2,31371.0,10070091.0
CN19_Nisk_SM_Dusk_100m_3,86816.0,27867936.0
CN19_Nisk_SM_Night_100m_2,112610.0,36147810.0
CN19_Buck4_SM_Night_0m_1,95818.0,30757578.0
CN19_Buck4_SM_Night_0m_2,104193.0,33445953.0
CN19_Nisk_SM_Dawn_11m_1,105752.0,33946392.0
CN19_Nisk_PB_Day_100m_3,96271.0,30902991.0
CN19_Nisk_PB_Dusk_70m_3,117520.0,37723920.0
CN19_Nisk_PB_Night_5m_1,20009.0,6422889.0
CN19_Nisk_PB_Night_15m_1,90587.0,29078427.0
CN19_Nisk_SM_Dawn_5m_1,81706.0,26227626.0
CN19_Nisk_SM_Dawn_11m_2,82807.0,26581047.0
CN19_Nisk_SM_Dawn_100m_1,50750.0,16290750.0
CN19_Nisk_SM_Dawn_100m_2,77979.0,25031259.0
CN19_Nisk_SM_Dawn_100m_3,111744.0,35869824.0
CN19_Nisk_PB_Day_5m_1,115867.0,37193307.0
CN19_Nisk_PB_Day_5m_2,121774.0,39089454.0
CN19_Nisk_PB_Day_28m_1,102221.0,32812941.0
CN19_Nisk_PB_Day_28m_2,118128.0,37919088.0
CN19_Nisk_PB_Day_100m_1,114121.0,36632841.0
CN19_Nisk_PB_Day_100m_2,109627.0,35190267.0
CN19_Nisk_PB_Dusk_5m_2,102824.0,33006504.0
CN19_Nisk_PB_Dusk_10m_1,105504.0,33866784.0
CN19_Nisk_PB_Dusk_10m_2,107402.0,34476042.0
CN19_Nisk_PB_Dusk_70m_1,91275.0,29299275.0
CN19_Nisk_PB_Dusk_70m_2,114916.0,36888036.0
CN19_Nisk_PB_Night_15m_2,96050.0,30832050.0
CN19_Nisk_PB_Night_100m_2,98160.0,31509360.0
CN19_Buck5_0m_1,97313.0,31237473.0
CN19_Nisk_PB_Dawn_5m_1,95782.0,30746022.0
CN19_Nisk_PB_Dawn_45m_1,88673.0,28464033.0
CN19_Nisk_PB_Dawn_45m_2,94745.0,30413145.0
CN19_Nisk_PB_Dawn_100m_2,91616.0,29408736.0
CN19_Nisk_MO_Night_7m_1,114913.0,36887073.0
CN19_Nisk_MO_Night_100m_3,85930.0,27583530.0
CN19_Nisk_MO_Dawn_5m_2,112384.0,36075264.0
CN19_Nisk_MO_Dawn_26m_2,88319.0,28350399.0
CN19_Nisk_MO_Dawn_100m_2,110084.0,35336964.0
CN19_Nisk_MO_Dawn_100m_3,108369.0,34786449.0
CN19_Nisk_PS_Dusk_75m_2,114126.0,36634446.0
CN19_Nisk_PS_Dusk_10m_2,104630.0,33586230.0
CN19_Nisk_PS_Dawn_10m_2,112929.0,36250209.0
CN19_Nisk_PS_Dawn_100m_2,76802.0,24653442.0
CN19_Nisk_PS_Dawn_100m_3,87811.0,28187331.0
CN19_Buck1_SN_0m_1,69121.0,22187841.0
CN19_Buck1_SN_0m_2,104618.0,33582378.0
CN19_Buck2_SN_0m_1,94697.0,30397737.0
CN19_Buck3_SN_0m_1,85338.0,27393498.0
CN19_Nisk_SM_Dusk_5m_1,86420.0,27740820.0
CN19_Nisk_PB_Night_5m_2,98801.0,31715121.0
CN19_Nisk_PB_Night_100m_3,107911.0,34639431.0
CN19_Buck5_0m_2,103314.0,33163794.0
CN19_Nisk_PB_Dawn_5m_2,96581.0,31002501.0
CN19_Nisk_PB_Dawn_100m_1,80338.0,25788498.0
CN19_Nisk_PB_Dawn_100m_3,128280.0,41177880.0
CN19_Nisk_MO_Night_5m_1,115201.0,36979521.0
CN19_Nisk_MO_Dawn_100m_1,51640.0,16576440.0
CN19_Nisk_Far_5m_1,89460.0,28716660.0
CN19_Nisk_Far_5m_2,93894.0,30139974.0
CN19_Nisk_PS_Dusk_75m_1,101342.0,32530782.0
CN19_Nisk_PS_Dusk_75m_3,167479.0,53760759.0
CN19_Nisk_PS_Dusk_10m_1,85076.0,27309396.0
CN19_Nisk_PS_Dusk_5m_1,103822.0,33326862.0
CN19_Nisk_PS_Dusk_5m_2,106544.0,34200624.0
CN19_Nisk_PS_Dawn_5m_1,148118.0,47545878.0
CN19_Nisk_PS_Dawn_10m_1,118979.0,38192259.0
CN19_Nisk_PS_Dawn_100m_1,106042.0,34039482.0
CN19_Buck2_SN_0m_2,102979.0,33056259.0
CN19_Nisk_SM_Dusk_50m_1,133665.0,42906465.0
CN19_Nisk_MO_Dawn_5m_1,121242.0,38918682.0
CN19_Nisk_Dav_Dusk_5m_1,107356.0,34461276.0
CN19_Nisk_Dav_Dusk_5m_2,93508.0,30016068.0
CN19_Nisk_Dav_Dusk_13m_1,86179.0,27663459.0
CN19_Nisk_Dav_Dusk_13m_3,95084.0,30521964.0
CN19_Nisk_Dav_Dusk_70m_1,93959.0,30160839.0
CN19_Nisk_Dav_Dusk_70m_2,100930.0,32398530.0
CN19_Nisk_Dav_Dusk_70m_3,93077.0,29877717.0
CN19_Buck6_Dav_Night_0m_1,1957241.0,628274361.0
CN19_Buck6_Dav_Night_0m_2,80480.0,25834080.0
CN19_Nisk_Dav_Predusk_12m_1,128801.0,41345121.0
CN19_Nisk_MO_Night_5m_2,114666.0,36807786.0
CN19_Nisk_MO_Night_100m_2,126032.0,40456272.0
CN19_Nisk_MO_Dawn_26m_1,139134.0,44662014.0
CN19_Nisk_Dav_Dawn_5m_1,108861.0,34944381.0
CN19_Nisk_Dav_Dawn_5m_2,102705.0,32968305.0
CN19_Nisk_Dav_Dawn_27m_1,105528.0,33874488.0
CN19_Nisk_Dav_Dawn_100m_1,111985.0,35947185.0
CN19_Nisk_Dav_Dawn_100m_2,108476.0,34820796.0
CN19_Nisk_Dav_Dawn_100m_3,19164.0,6151644.0
CN19_Nisk_Far_13m_1,132507.0,42534747.0
CN19_Nisk_Far_13m_2,115291.0,37008411.0
CN19_Nisk_Far_60m_1,131408.0,42181968.0
CN19_Nisk_Far_60m_2,107271.0,34433991.0
CN19_Nisk_Far_60m_3,135927.0,43632567.0
CN19_Nisk_MO_Night_7m_2,90679.0,29107959.0
