Metagenome ID,Dataset,Sample type,Date collected,Depth (m),# Raw reads,# QC'd reads,Average QC'd read length (bp),# bps (QCd),Amplicon ID,# 18S QC'd reads,average 18S QC'd read length (bp),# bps (QC'd),# COI reads,average COI read length (bp),#bps (QC'd)
zr2760_68,CANON2018,CTD,9/10/18,25,14454692,1755645792,136.1,2.39E+11,CN18Fc40_6_eDNA,68041,180,12247380,102595,313,32112235
zr2760_57,CANON2018,CTD,9/10/18,25,24976694,2775953814,142,3.94E+11,CN18Fc41_6_eDNA,69490,180,12508200,105415,313,32994895
zr2760_55,CANON2018,CTD,9/10/18,30,17116761,14345623,142.2,2039947591,CN18Fc43_5_eDNA,43030,180,7745400,68591,313,21468983
zr2760_32,CANON2018,CTD,9/10/18,10,11981617,11322743,143.1,1620284523,CN18Fc44_8_eDNA,36215,180,6518700,91548,313,28654524
zr2760_76,CANON2018,CTD,9/10/18,10,8853326,1086536078,144.2,1.57E+11,CN18Fc46_8_eDNA,42474,180,7645320,85927,313,26895151
zr2760_69,CANON2018,CTD,9/10/18,25,10755772,1397408793,140.4,1.96E+11,CN18Fc47_6_eDNA,33842,180,6091560,83219,313,26047547
zr2760_75,CANON2018,CTD,9/11/18,25,11547117,1451320451,143.1,2.08E+11,CN18Fc49_6_eDNA,45721,180,8229780,86790,313,27165270
zr2760_71,CANON2018,CTD,9/11/18,35,12284118,1576367299,138.9,2.19E+11,CN18Fc51_5_eDNA,57717,180,10389060,80529,313,25205577
zr2760_52,CANON2018,ESP,9/11/18,35,22502432,19915978,142.3,2834043669,CN18FESPkoa_SC24,99632,180,17933760,81287,313,25442831
zr2760_64,CANON2018,ESP,9/11/18,27,8113207,1021789149,138.9,1.42E+11,CN18FESPkoa_SC26,45794,180,8242920,101830,313,31872790
zr2760_79,CANON2018,ESP,9/10/18,22,9895525,1909768582,136.3,2.60E+11,CN18FESPkoa_SC29,90730,180,16331400,88847,313,27809111
zr2760_59,CANON2018,ESP,9/10/18,13,15623649,1886537259,136.4,2.57E+11,CN18FESPkoa_SC30,80842,180,14551560,116363,313,36421619
zr2760_48,CANON2018,ESP,9/10/18,19,9920172,9139036,142.4,1301398726,CN18FESPkoa_SC31,47778,180,8600040,104954,313,32850602
zr2760_50,CANON2018,ESP,9/10/18,35,12430476,11519791,130.5,1503332726,CN18FESPkoa_SC32,47496,180,8549280,123848,313,38764424
zr2760_38,CANON2018,ESP,9/10/18,25,13008742,11785769,143.7,1693615005,CN18FESPkoa_SC34,56329,180,10139220,127501,313,39907813
zr2760_62,CANON2018,ESP,9/10/18,25,18967816,2301142536,135.5,3.12E+11,CN18FESPkoa_SC35,43996,180,7919280,113116,313,35405308
zr2760_53,CANON2018,ESP,9/10/18,31,10182334,8416740,143.3,1206118842,CN18FESPkoa_SC37,81638,180,14694840,98024,313,30681512
zr2760_49,CANON2018,ESP,9/9/18,25,9547046,8686435,142.3,1236079701,CN18FESPkoa_SC40,82308,180,14815440,93970,313,29412610
zr2760_31,CANON2018,ESP,9/9/18,28,19407722,18310171,143.3,2623847504,CN18FESPkoa_SC41,66822,180,12027960,93760,313,29346880
zr2760_37,CANON2018,ESP,9/9/18,32,36723021,33471120,140,4685956800,CN18FESPkoa_SC43,62359,180,11224620,91909,313,28767517
zr2760_34,CANON2018,ESP,9/9/18,37,26806862,25728116,138.4,3560771254,CN18FESPkoa_SC44,46076,180,8293680,97069,313,30382597
zr2760_46,CANON2018,ESP,9/9/18,39,9201586,8346098,144.2,1203507332,CN18FESPkoa_SC46,58508,180,10531440,91790,313,28730270
zr2760_18,CANON2018,ESP,9/9/18,29,19046979,17302650,137,2370463050,CN18FESPkoa_SC47,33069,180,5952420,70318,313,22009534
zr2760_56,CANON2018,ESP,9/9/18,48,17018620,2088280512,136.9,2.86E+11,CN18FESPkoa_SC49,44546,180,8018280,87533,313,27397829
zr2760_41,CANON2018,ESP,9/8/18,28,18027923,15775508,137.4,2167554799,CN18FESPkoa_SC52,42678,180,7682040,75736,313,23705368
zr2760_35,CANON2018,ESP,9/8/18,34,33225377,30644362,137,4198277594,CN18FESPkoa_SC53,69308,180,12475440,138563,313,43370219
zr2760_33,CANON2018,ESP,9/8/18,35,10799911,10369769,139.2,1443471845,CN18FESPkoa_SC55,40500,180,7290000,67708,313,21192604
zr2760_51,CANON2018,ESP,9/8/18,38,10585935,9802855,134.5,1318483998,CN18FESPkoa_SC56,34955,180,6291900,118489,313,37087057
zr2760_39,CANON2018,ESP,9/8/18,35,18747365,16877908,142.3,2401726308,CN18FESPkoa_SC57,40782,180,7340760,119438,313,37384094
zr2760_44,CANON2018,ESP,9/7/18,29,11913549,10833740,137.7,1491805998,CN18FESPkoa_SC58,42694,180,7684920,110346,313,34538298
zr2760_30,CANON2018,CTD,6/6/18,200,28253486,24914926,137.1,3415836355,CN18Sc09_2_eDNA,25047,180,4508460,65696,313,20562848
zr2760_24,CANON2018,CTD,6/6/18,200,19215746,16919712,138.7,2346764054,CN18Sc10_2_eDNA,17583,180,3164940,80648,313,25242824
zr2760_27,CANON2018,CTD,6/7/18,195,22995369,20282217,141.4,2867905484,CN18Sc14_2_eDNA,20199,180,3635820,68493,313,21438309
zr2760_26,CANON2018,CTD,6/7/18,30,19185623,16846790,143,2409090970,CN18Sc14_8_eDNA,18111,180,3259980,43553,313,13632089
zr2760_20,CANON2018,CTD,6/7/18,195,16074520,14304957,141,2016998937,CN18Sc15_2_eDNA,16995,180,3059100,46167,313,14450271
zr2760_77,CANON2018,CTD,6/7/18,30,13565914,1727077670,138.4,2.39E+11,CN18Sc15_8_eDNA,40857,180,7354260,75237,313,23549181
zr2760_29,CANON2018,CTD,6/7/18,200,22514937,19733486,142.1,2804128361,CN18Sc18_2_eDNA,23254,180,4185720,39193,313,12267409
zr2760_43,CANON2018,CTD,6/7/18,30,27513755,23910468,142.2,3400068550,CN18Sc18_8_eDNA,7570,180,1362600,52985,313,16584305
zr2760_21,CANON2018,CTD,6/8/18,200,21199047,19217972,142.5,2738561010,CN18Sc27_2_eDNA,25492,180,4588560,44275,313,13858075
zr2760_70,CANON2018,CTD,6/8/18,30,10317254,1322646542,142.5,1.88E+11,CN18Sc27_8_eDNA,8323,180,1498140,60531,313,18946203
