Metagenome ID,Dataset,Sample type,Date collected,Depth (m),# Raw reads,# QC'd reads,Average QC'd read length (bp),# bps (QCd),Amplicon ID,# 18S QC'd reads,average 18S QC'd read length (bp),# bps (QC'd),# COI reads,average COI read length (bp),#bps (QC'd)
1903c123_70m-3,RREAS2019,CTD,6/2/19,70,34355978,"28,916,426",139.5,4033841427,CN19_Nisk_PB_Dusk_70m_3,85405,180,15372900,117520,313,36783760
1903c124_100m-2,RREAS2019,CTD,6/2/19,100,28667938,"21,812,854",137.1,2990542283,CN19_Nisk_PB_Night_100m_2,49420,180,8895600,98160,313,30724080
1903c124_100m-3,RREAS2019,CTD,6/2/19,100,23574516,"18,205,892",137.8,2508771918,CN19_Nisk_PB_Night_100m_3,54090,180,9736200,107911,313,33776143
1903c124_15m-1,RREAS2019,CTD,6/2/19,15,18384728,"15,258,794",137.6,2099610054,CN19_Nisk_PB_Night_15m_1,109942,180,19789560,90587,313,28353731
1903c124_15m-2,RREAS2019,CTD,6/2/19,15,29697020,"23,575,198",138.8,3272237482,CN19_Nisk_PB_Night_15m_2,83682,180,15062760,96050,313,30063650
1903c124_5m-1,RREAS2019,CTD,6/2/19,5,32006386,"26,704,194",138.2,3690519611,CN19_Nisk_PB_Night_5m_1,75340,180,13561200,20009,313,6262817
1903c124_5m-2,RREAS2019,CTD,6/2/19,5,38999990,"31,109,304",140.1,4358413490,CN19_Nisk_PB_Night_5m_2,80270,180,14448600,98801,313,30924713
1903c126_100m-1,RREAS2019,CTD,6/3/19,100,10732934,"23,871,758",138.4,3303851307,CN19_Nisk_PB_Dawn_100m_1,46579,180,8384220,80338,313,25145794
1903c126_100m-2,RREAS2019,CTD,6/3/19,100,39787706,"33,073,072",133.3,4408640498,CN19_Nisk_PB_Dawn_100m_2,50561,180,9100980,91616,313,28675808
1903c126_100m-3,RREAS2019,CTD,6/3/19,100,28952888,"23,010,622",136.2,3134046716,CN19_Nisk_PB_Dawn_100m_3,56849,180,10232820,128280,313,40151640
1903c126_45m-1,RREAS2019,CTD,6/3/19,45,20409324,"15,691,320",140.1,2198353932,CN19_Nisk_PB_Dawn_45m_1,57844,180,10411920,88673,313,27754649
1903c126_45m-2,RREAS2019,CTD,6/3/19,45,22146812,"17,175,984",136.1,2337651422,CN19_Nisk_PB_Dawn_45m_2,65664,180,11819520,94745,313,29655185
1903c126_5m-1,RREAS2019,CTD,6/3/19,5,30665884,"24,427,800",139.6,3410120880,CN19_Nisk_PB_Dawn_5m_1,47004,180,8460720,95782,313,29979766
1903c126_5m-2,RREAS2019,CTD,6/3/19,5,38227764,"30,062,846",139.1,4181741879,CN19_Nisk_PB_Dawn_5m_2,58098,180,10457640,96581,313,30229853
1903c127_100m-2,RREAS2019,CTD,6/4/19,100,30560372,"23,225,344",140.4,3260838298,CN19_Nisk_MO_Night_100m_2,30795,180,5543100,126032,313,39448016
1903c127_100m-3,RREAS2019,CTD,6/4/19,100,18435518,"13,563,944",139,1885388216,CN19_Nisk_MO_Night_100m_3,36750,180,6615000,85930,313,26896090
1903c127_5m-1,RREAS2019,CTD,6/4/19,5,16810104,"13,450,752",140.1,1884450355,CN19_Nisk_MO_Night_5m_1,74647,180,13436460,115201,313,36057913
1903c127_5m-2,RREAS2019,CTD,6/4/19,5,17592044,"13,622,826",134.9,1837719227,CN19_Nisk_MO_Night_5m_2,73630,180,13253400,114666,313,35890458
1903c127_7m-1,RREAS2019,CTD,6/4/19,7,26998116,"20,738,190",138,2861870220,CN19_Nisk_MO_Night_7m_1,83000,180,14940000,114913,313,35967769
1903c127_7m-2,RREAS2019,CTD,6/4/19,7,32264696,"25,277,452",138.7,3505982592,CN19_Nisk_MO_Night_7m_2,83638,180,15054840,90679,313,28382527
1903c129_100m-1,RREAS2019,CTD,6/4/19,100,18649664,"14,396,546",136.8,1969447493,CN19_Nisk_MO_Dawn_100m_1,57304,180,10314720,51640,313,16163320
1903c129_100m-2,RREAS2019,CTD,6/4/19,100,27547428,"20,877,244",136.7,2853919255,CN19_Nisk_MO_Dawn_100m_2,59457,180,10702260,110084,313,34456292
1903c129_100m-3,RREAS2019,CTD,6/4/19,100,42518016,"32,134,040",136.7,4392723268,CN19_Nisk_MO_Dawn_100m_3,50662,180,9119160,108369,313,33919497
1903c129_26m-1,RREAS2019,CTD,6/4/19,26,16312420,"12,565,772",133.5,1677530562,CN19_Nisk_MO_Dawn_26m_1,51539,180,9277020,139134,313,43548942
1903c129_26m-2,RREAS2019,CTD,6/4/19,26,25769620,"20,162,134",139.2,2806569053,CN19_Nisk_MO_Dawn_26m_2,55825,180,10048500,88319,313,27643847
1903c129_5m-1,RREAS2019,CTD,6/4/19,5,58194128,"46,066,006",130.4,6007007182,CN19_Nisk_MO_Dawn_5m_1,82585,180,14865300,121242,313,37948746
1903c129_5m-2,RREAS2019,CTD,6/4/19,5,42720314,"32,643,478",141.6,4622316485,CN19_Nisk_MO_Dawn_5m_2,47514,180,8552520,112384,313,35176192
1903c134_12m-1,RREAS2019,CTD,6/4/19,12,16993744,"13,361,632",132,1763735424,CN19_Nisk_Dav_Predusk_12m_1,60829,180,10949220,128801,313,40314713
1903c144_13m-1,RREAS2019,CTD,6/7/19,13,3687454,"2,670,176",133,355133408,CN19_Nisk_Far_13m_1,73745,180,13274100,132507,313,41474691
1903c144_13m-2,RREAS2019,CTD,6/7/19,13,33275144,"26,469,198",139.2,3684512362,CN19_Nisk_Far_13m_2,80167,180,14430060,115291,313,36086083
1903c144_5m-1,RREAS2019,CTD,6/7/19,5,31241880,"24,244,704",140.7,3411229853,CN19_Nisk_Far_5m_1,79496,180,14309280,89460,313,28000980
1903c144_5m-2,RREAS2019,CTD,6/7/19,5,35618650,"28,394,280",140.6,3992235768,CN19_Nisk_Far_5m_2,80179,180,14432220,93894,313,29388822
1903c144_60m-1,RREAS2019,CTD,6/7/19,60,22454126,"17,670,206",130.9,2313029965,CN19_Nisk_Far_60m_1,45103,180,8118540,131408,313,41130704
1903c144_60m-2,RREAS2019,CTD,6/7/19,60,25163704,"19,918,552",126.8,2525672394,CN19_Nisk_Far_60m_2,50730,180,9131400,107271,313,33575823
1903c144_60m-3,RREAS2019,CTD,6/7/19,60,32674904,"25,298,906",139.8,3536787059,CN19_Nisk_Far_60m_3,89014,180,16022520,135927,313,42545151
Las19c107_10m-1,RREAS2019,CTD,5/30/19,10,30780662,"23,955,266",141.4,3387274612,CN19_Nisk_PS_Dusk_10m_1,66318,180,11937240,85076,313,26628788
Las19c107_10m-2,RREAS2019,CTD,5/30/19,10,30099482,"23,523,944",139.3,3276885399,CN19_Nisk_PS_Dusk_10m_2,76917,180,13845060,104630,313,32749190
Las19c107_5m-1,RREAS2019,CTD,5/30/19,5,33108876,"26,379,164",138.9,3664065880,CN19_Nisk_PS_Dusk_5m_1,53408,180,9613440,103822,313,32496286
Las19c107_5m-2,RREAS2019,CTD,5/30/19,5,40305156,"32,238,274",140.4,4526253670,CN19_Nisk_PS_Dusk_5m_2,31414,180,5654520,106544,313,33348272
Las19c107_75m-1,RREAS2019,CTD,5/30/19,75,35338132,"27,892,036",139.1,3879782208,CN19_Nisk_PS_Dusk_75m_1,56508,180,10171440,101342,313,31720046
Las19c107_75m-2,RREAS2019,CTD,5/30/19,75,18114736,"13,899,646",136.4,1895911714,CN19_Nisk_PS_Dusk_75m_2,64643,180,11635740,114126,313,35721438
Las19c107_75m-3,RREAS2019,CTD,5/30/19,75,23931386,"17,821,180",137.9,2457540722,CN19_Nisk_PS_Dusk_75m_3,60294,180,10852920,167479,313,52420927
Las19c135_13m-1,RREAS2019,CTD,6/4/19,13,17136180,"13,617,982",130,1770337660,CN19_Nisk_Dav_Dusk_13m_1,94902,180,17082360,86179,313,26974027
Las19c135_13m-3,RREAS2019,CTD,6/4/19,13,2813978,"1,936,014",131.4,254392239.6,CN19_Nisk_Dav_Dusk_13m_3,101467,180,18264060,95084,313,29761292
Las19c135_5m-1,RREAS2019,CTD,6/4/19,5,18653084,"14,778,430",130.5,1928585115,CN19_Nisk_Dav_Dusk_5m_1,112576,180,20263680,107356,313,33602428
Las19c135_5m-2,RREAS2019,CTD,6/4/19,5,45559362,"37,279,214",137.8,5137075689,CN19_Nisk_Dav_Dusk_5m_2,92282,180,16610760,93508,313,29268004
Las19c135_70m-1,RREAS2019,CTD,6/4/19,70,43784366,"36,197,240",140.9,5100191116,CN19_Nisk_Dav_Dusk_70m_1,72818,180,13107240,93959,313,29409167
Las19c135_70m-2,RREAS2019,CTD,6/4/19,70,20895534,"16,403,438",132.4,2171815191,CN19_Nisk_Dav_Dusk_70m_2,44851,180,8073180,100930,313,31591090
Las19c135_70m-3,RREAS2019,CTD,6/4/19,70,22300680,"17,449,540",122.1,2130588834,CN19_Nisk_Dav_Dusk_70m_3,88685,180,15963300,93077,313,29133101
Las19c138_100m-1,RREAS2019,CTD,6/5/19,100,18640498,"14,254,732",132.6,1890177463,CN19_Nisk_Dav_Dawn_100m_1,55270,180,9948600,111985,313,35051305
Las19c138_100m-2,RREAS2019,CTD,6/5/19,100,17610176,"13,714,534",129.4,1774660700,CN19_Nisk_Dav_Dawn_100m_2,57670,180,10380600,108476,313,33952988
Las19c138_100m-3,RREAS2019,CTD,6/5/19,100,557078,"437,128",131.1,57307480.8,CN19_Nisk_Dav_Dawn_100m_3,15752,180,2835360,19164,313,5998332
Las19c138_27m-1,RREAS2019,CTD,6/5/19,27,288327202,"223,363,352",134.6,30064707179,CN19_Nisk_Dav_Dawn_27m_1,81287,180,14631660,105528,313,33030264
Las19c138_5m-1,RREAS2019,CTD,6/5/19,5,25415562,"19,559,164",140.6,2750018458,CN19_Nisk_Dav_Dawn_5m_1,75964,180,13673520,108861,313,34073493
Las19c138_5m-2,RREAS2019,CTD,6/5/19,5,18729038,"13,839,100",136.7,1891804970,CN19_Nisk_Dav_Dawn_5m_2,62115,180,11180700,102705,313,32146665
