Phylum,Class,COI sample,COI reads
Annelida,Clitellata,CN19_Nisk_SM_Night_100m_2,0
Annelida,Clitellata,CN19_Nisk_SM_Night_100m_3,0
Annelida,Clitellata,CN19_Nisk_SM_Night_23m_1,0
Annelida,Clitellata,CN19_Nisk_SM_Night_23m_2,0
Annelida,Clitellata,CN19_Nisk_SM_Night_5m_1,0
Annelida,Clitellata,CN19_Nisk_SM_Night_5m_2,0
Annelida,Polychaeta,CN18FESPkoa_SC24,0.000858676
Annelida,Polychaeta,CN18FESPkoa_SC26,0.000558971
Annelida,Polychaeta,CN18FESPkoa_SC29,0.000159541
Annelida,Polychaeta,CN18FESPkoa_SC30,0.000664532
Annelida,Polychaeta,CN18FESPkoa_SC31,0
Annelida,Polychaeta,CN18FESPkoa_SC32,0.000126207
Annelida,Polychaeta,CN18FESPkoa_SC34,0.000302816
Annelida,Polychaeta,CN18FESPkoa_SC35,0.000450552
Annelida,Polychaeta,CN18FESPkoa_SC37,0.000227981
Annelida,Polychaeta,CN18FESPkoa_SC40,0.000789533
Annelida,Polychaeta,CN18FESPkoa_SC41,0.000155485
Annelida,Polychaeta,CN18FESPkoa_SC43,0
Annelida,Polychaeta,CN18FESPkoa_SC44,0.000241575
Annelida,Polychaeta,CN18FESPkoa_SC46,0.000260078
Annelida,Polychaeta,CN18FESPkoa_SC47,0.000351927
Annelida,Polychaeta,CN18FESPkoa_SC49,0.000319659
Annelida,Polychaeta,CN18FESPkoa_SC52,0
Annelida,Polychaeta,CN18FESPkoa_SC53,0.000107038
Annelida,Polychaeta,CN18FESPkoa_SC55,0.000674821
Annelida,Polychaeta,CN18FESPkoa_SC56,0
Annelida,Polychaeta,CN18FESPkoa_SC57,0.000117557
Annelida,Polychaeta,CN18FESPkoa_SC58,0.000586487
Annelida,Polychaeta,CN18Fc12_8_eDNA,0
Annelida,Polychaeta,CN18Fc19_5_eDNA,0
Annelida,Polychaeta,CN18Fc21_6_eDNA,0.002184248
Annelida,Polychaeta,CN18Fc22_6_eDNA,0
Annelida,Polychaeta,CN18Fc24_6_eDNA,4.23E-05
Annelida,Polychaeta,CN18Fc25_5_eDNA,0.001392434
Annelida,Polychaeta,CN18Fc27_4_eDNA,0.000627845
Annelida,Polychaeta,CN18Fc29_6_eDNA,0
Annelida,Polychaeta,CN18Fc30_4_eDNA,2.30E-05
Annelida,Polychaeta,CN18Fc32_4_eDNA,0.000958466
Annelida,Polychaeta,CN18Fc33_5_eDNA,0
Annelida,Polychaeta,CN18Fc35_5_eDNA,2.49E-05
Annelida,Polychaeta,CN18Fc36_6_eDNA,0.000852619
Annelida,Polychaeta,CN18Fc38_5_eDNA,0
Annelida,Polychaeta,CN18Fc40_6_eDNA,6.75E-05
Annelida,Polychaeta,CN18Fc41_6_eDNA,0.000306937
Annelida,Polychaeta,CN18Fc43_5_eDNA,0
Annelida,Polychaeta,CN18Fc44_8_eDNA,0.000119352
Annelida,Polychaeta,CN18Fc46_8_eDNA,5.20E-05
Annelida,Polychaeta,CN18Fc47_6_eDNA,1.72E-05
Annelida,Polychaeta,CN18Fc49_6_eDNA,5.02E-05
Annelida,Polychaeta,CN18Fc51_5_eDNA,0.000332585
Annelida,Polychaeta,CN18SESPkoa_SC36,0
Annelida,Polychaeta,CN18SESPkoa_SC37,0.002427638
Annelida,Polychaeta,CN18SESPkoa_SC39,0
Annelida,Polychaeta,CN18SESPkoa_SC40,0.000635526
Annelida,Polychaeta,CN18SESPkoa_SC41,0.001657275
Annelida,Polychaeta,CN18SESPkoa_SC44,0.001362398
Annelida,Polychaeta,CN18SESPkoa_SC45,0.000605327
Annelida,Polychaeta,CN18SESPkoa_SC47,0.002056945
Annelida,Polychaeta,CN18SESPkoa_SC49,0.000515996
Annelida,Polychaeta,CN18Sc09_2_eDNA,0.000175685
Annelida,Polychaeta,CN18Sc10_2_eDNA,0
Annelida,Polychaeta,CN18Sc14_2_eDNA,0.00155565
Annelida,Polychaeta,CN18Sc14_8_eDNA,0.001586223
Annelida,Polychaeta,CN18Sc15_2_eDNA,0.002364066
Annelida,Polychaeta,CN18Sc15_8_eDNA,0.002058768
Annelida,Polychaeta,CN18Sc18_2_eDNA,0.001201562
Annelida,Polychaeta,CN18Sc18_8_eDNA,0
Annelida,Polychaeta,CN18Sc27_2_eDNA,0.031542056
Annelida,Polychaeta,CN18Sc27_8_eDNA,0
Annelida,Polychaeta,CN19_Buck1_SN_0m_1,0.000235988
Annelida,Polychaeta,CN19_Buck1_SN_0m_2,0.001696727
Annelida,Polychaeta,CN19_Buck2_SN_0m_1,0.001165679
Annelida,Polychaeta,CN19_Buck2_SN_0m_2,9.95E-05
Annelida,Polychaeta,CN19_Buck3_SN_0m_1,0.000115846
Annelida,Polychaeta,CN19_Buck4_SM_Night_0m_1,0.000147759
Annelida,Polychaeta,CN19_Buck4_SM_Night_0m_2,0.000478217
Annelida,Polychaeta,CN19_Buck5_0m_1,1.07E-05
Annelida,Polychaeta,CN19_Buck5_0m_2,3.02E-05
Annelida,Polychaeta,CN19_Buck6_Dav_Night_0m_1,0.00023288
Annelida,Polychaeta,CN19_Buck6_Dav_Night_0m_2,1.76E-05
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_100m_1,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_100m_2,1.56E-05
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_100m_3,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_27m_1,9.69E-06
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_27m_2,8.84E-06
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_5m_1,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_5m_2,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_13m_1,0.008756357
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_13m_3,0.000999616
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_5m_1,0.000197181
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_5m_2,9.34E-05
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_70m_1,0.000398574
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_70m_2,0.010131757
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_70m_3,0.00224588
Annelida,Polychaeta,CN19_Nisk_Dav_Predusk_12m_1,0
Annelida,Polychaeta,CN19_Nisk_Far_13m_1,0.039152578
Annelida,Polychaeta,CN19_Nisk_Far_13m_2,0.014573597
Annelida,Polychaeta,CN19_Nisk_Far_5m_1,6.90E-05
Annelida,Polychaeta,CN19_Nisk_Far_5m_2,0.003483002
Annelida,Polychaeta,CN19_Nisk_Far_60m_1,0.000707727
Annelida,Polychaeta,CN19_Nisk_Far_60m_2,0.000933061
Annelida,Polychaeta,CN19_Nisk_Far_60m_3,0.000182124
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_100m_1,0.001020588
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_100m_2,4.94E-05
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_100m_3,0.000480582
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_26m_1,2.19E-05
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_26m_2,4.61E-05
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_5m_1,3.52E-05
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_5m_2,0
Annelida,Polychaeta,CN19_Nisk_MO_Night_100m_1,0
Annelida,Polychaeta,CN19_Nisk_MO_Night_100m_2,7.31E-05
Annelida,Polychaeta,CN19_Nisk_MO_Night_100m_3,0
