Phylum,Total NCBI genome nts,Average # nts/metagenome,Total NCBI genome nts/average metagenome nts,Total NCBI COI nts,Average # COI nts/sample,Total NCBI COI nts/Average sample COI nts,Total NCBI 18S nts,Average 18S nts/sample,Total NCBI 18S nts/Average sample 18S nts,Average # sample COI bps/NCBI COI bps,Average # sample 18S bps/NCBI 18S bps,Total NCBI genome/COI bps,Total NCBI genome/18S bps
Arthropoda,1.48E+12,29712101870,49.8114,12526402,29449690,0.425349197,2440350,8209792,0.2972487,2.351009492,3.364186285,118150.4474,606470.3833
Rotifera,3293620773,29712101870,0.1109,32342,29449690,0.001098212,25300,8209792,0.003081686,910.571084,324.4977075,101837.2634,130182.6392
Annelida,37129958920,29712101870,1.2497,372090,29449690,0.012634768,250250,8209792,0.030481893,79.14668494,32.80636164,99787.57537,148371.4642
Filasterea,117493861,29712101870,0.0040,1256,29449690,4.2649E-05,550,8209792,6.69932E-05,23447.20541,14926.89455,93546.06768,213625.2018
Basidiomycota,28327958844,29712101870,0.9534,310232,29449690,0.010534304,261470,8209792,0.031848554,94.92795714,31.39860022,91312.17555,108341.1437
Imbricatea,967831042,29712101870,0.0326,10676,29449690,0.000362517,7040,8209792,0.000857513,2758.494755,1166.163636,90654.8372,137476.0003
Bryozoa,3487710918,29712101870,0.1174,43960,29449690,0.001492715,59620,8209792,0.00726206,669.9201547,137.7019792,79338.28294,58499.00902
Ascomycota,88820435929,29712101870,2.9894,1175616,29449690,0.039919469,893970,8209792,0.1088907,25.05043313,9.1835207,75552.2517,99355.0521
Phaeophyceae,4959816523,29712101870,0.1669,67510,29449690,0.002292384,33550,8209792,0.004086583,436.2270775,244.7031893,73467.87917,147833.5774
Placozoa,105631681,29712101870,0.0036,1570,29449690,5.33113E-05,330,8209792,4.01959E-05,18757.76433,24878.15758,67281.32548,320096.003
Glaucocystophyceae,99940401,29712101870,0.0034,1570,29449690,5.33113E-05,1100,8209792,0.000133986,18757.76433,7463.447273,63656.30637,90854.91
Mollusca,79145615021,29712101870,2.6638,1308438,29449690,0.044429602,267960,8209792,0.032639073,22.5075166,30.63812509,60488.62462,295363.5431
Ichthyosporea,559406210,29712101870,0.0188,9734,29449690,0.00033053,3740,8209792,0.000455554,3025.44586,2195.131551,57469.3045,149573.8529
Chytridiomycota,1813556250,29712101870,0.0610,35168,29449690,0.001194172,22330,8209792,0.002719923,837.4001934,367.6575011,51568.36471,81216.133
Apicomplexa,1841769991,29712101870,0.0620,36738,29449690,0.001247483,53790,8209792,0.006551932,801.6138603,152.6267336,50132.56005,34240.00727
Chrysophyceae,715982103,29712101870,0.0241,14444,29449690,0.000490464,13420,8209792,0.001634633,2038.887427,611.7579732,49569.51696,53351.87057
Nemertea,2328094203,29712101870,0.0784,47100,29449690,0.001599338,26950,8209792,0.003282665,625.258811,304.6305009,49428.75166,86385.68471
Chlorophyta,8128940245,29712101870,0.2736,177724,29449690,0.006034834,193270,8209792,0.0235414,165.7046319,42.4783567,45739.12496,42060.02093
Aphelidea,38294510,29712101870,0.0013,942,29449690,3.19868E-05,440,8209792,5.35945E-05,31262.94055,18658.61818,40652.34607,87032.97727
Perkinsozoa,81672719,29712101870,0.0027,2198,29449690,7.46358E-05,2420,8209792,0.00029477,13398.40309,3392.476033,37157.74295,33749.05744
Porifera,5006596976,29712101870,0.1685,149150,29449690,0.005064569,73700,8209792,0.008977085,197.4501509,111.3947354,33567.52917,67932.11636
Blastocladiomycota,123245358,29712101870,0.0041,3768,29449690,0.000127947,1540,8209792,0.000187581,7815.735138,5331.033766,32708.42834,80029.45325
Breviatea,48996813,29712101870,0.0016,1570,29449690,5.33113E-05,330,8209792,4.01959E-05,18757.76433,24878.15758,31208.16115,148475.1909
Rhodophyta,5533078159,29712101870,0.1862,224824,29449690,0.007634172,122210,8209792,0.014885883,130.9899744,67.17774323,24610.70953,45275.167
Cercozoa,968887501,29712101870,0.0326,39564,29449690,0.001343444,30690,8209792,0.003738219,744.3557274,267.5070707,24489.11892,31570.13688
Endomyxa,285871597,29712101870,0.0096,11932,29449690,0.000405166,7920,8209792,0.000964702,2468.126886,1036.589899,23958.39733,36094.89861
Synurophyceae,108460286,29712101870,0.0037,4710,29449690,0.000159934,8910,8209792,0.001085289,6252.58811,921.4132435,23027.66157,12172.8716
Ciliophora,5225445814,29712101870,0.1759,232674,29449690,0.007900728,204380,8209792,0.024894662,126.5706095,40.16925335,22458.22831,25567.30509
Pelagophyceae,181547524,29712101870,0.0061,8164,29449690,0.000277219,3630,8209792,0.000442155,3607.262371,2261.650689,22237.57031,50013.09201
Brachiopoda,406282338,29712101870,0.0137,19154,29449690,0.000650397,7920,8209792,0.000964702,1537.521666,1036.589899,21211.35731,51298.275
Bigyra,362944887,29712101870,0.0122,20096,29449690,0.000682384,13970,8209792,0.001701627,1465.450338,587.6730136,18060.55369,25980.30687
Bacillariophyta,1676572349,29712101870,0.0564,106132,29449690,0.003603841,101090,8209792,0.012313345,277.4817209,81.21270155,15797.04848,16584.94756
Haptophyta,261074230,29712101870,0.0088,18526,29449690,0.000629073,15400,8209792,0.001875809,1589.641045,533.1033766,14092.31512,16952.87208
Eustigmatophyceae,90363046,29712101870,0.0030,7536,29449690,0.000255894,6380,8209792,0.000777121,3907.867569,1286.801254,11990.85005,14163.48683
Ctenophora,117493861,29712101870,0.0040,11304,29449690,0.000383841,7920,8209792,0.000964702,2605.245046,1036.589899,10394.00752,14835.08346
Foraminifera,103317140,29712101870,0.0035,11304,29449690,0.000383841,24200,8209792,0.0029477,2605.245046,339.2476033,9139.874381,4269.303306
Cryptophyceae,93127154,29712101870,0.0031,13502,29449690,0.000458477,13970,8209792,0.001701627,2181.135387,587.6730136,6897.285884,6666.224338
Choanoflagellata,55440309,29712101870,0.0019,9106,29449690,0.000309205,5830,8209792,0.000710128,3234.097298,1408.197599,6088.327367,9509.486964
